LGA_CODE,LGA_NAME,s_mean_nonstrata,s_mean_strata,s_median_nonstrata,s_median_strata,s_mean_sales,s_median_sales
LGA10050,Albury,350.72904,197.23513,320.0,206.0,320.42552,290.0
LGA10130,Armidale Regional,372.99474,0.0,352.5,0.0,361.56796,345.0
LGA10250,Ballina,695.14002,463.46875,639.5,424.0,616.27321,587.5
LGA10300,Balranald,0.0,0.0,0.0,0.0,0.0,0.0
LGA10470,Bathurst Regional,436.94775999999996,293.44444,417.0,280.0,426.22967,405.0
LGA10550,Bega Valley,480.04897,292.83431,460.0,285.0,431.58223,420.0
LGA10600,Bellingen,561.5535699999998,0.0,547.5,0.0,556.7894699999998,545.0
LGA10650,Berrigan,249.65,0.0,225.0,0.0,241.62121000000002,222.5
LGA10750,Blacktown,795.08317,550.4590999999998,780.0,550.0,750.6276799999999,737.0
LGA10800,Bland,185.63043000000002,0.0,165.0,0.0,185.63043000000002,165.0
LGA10850,Blayney,324.76562,0.0,271.75,0.0,324.76562,271.75
LGA10900,Blue Mountains,710.5097099999998,546.68333,685.0,510.0,702.10836,680.0
LGA10950,Bogan,0.0,0.0,0.0,0.0,0.0,0.0
LGA11150,Bourke,0.0,0.0,0.0,0.0,0.0,0.0
LGA11200,Brewarrina,0.0,0.0,0.0,0.0,0.0,0.0
LGA11250,Broken Hill,109.88418,0.0,87.5,0.0,109.88418,87.5
LGA11300,Burwood,8648.047340000001,848.7469100000002,2460.0,852.0,4199.15062,1045.0
LGA11350,Byron,1091.2973,838.82222,940.0,735.0,1018.46795,842.5
LGA11400,Cabonne,372.15322000000003,0.0,345.0,0.0,372.15322000000003,345.0
LGA11450,Camden,784.61334,529.30882,750.0,520.0,773.5414599999998,745.0
LGA11500,Campbelltown,666.8058199999998,484.79168,645.0,485.0,624.4610700000001,620.0
LGA11520,Canada Bay,2230.7088,1017.02949,2155.0,930.0,1430.408,1250.0
LGA11570,Canterbury-Bankstown,1105.96576,612.36991,1051.0,590.4,892.5736199999999,863.0
LGA11600,Carrathool,0.0,0.0,0.0,0.0,0.0,0.0
LGA11650,Central Coast,715.96414,521.10668,660.0,485.0,678.16296,635.0
LGA11720,Cessnock,398.55138999999997,286.34545,356.0,285.0,387.0162,349.0
LGA11730,Clarence Valley,387.56543,408.55625,370.0,391.5,390.48082,372.5
LGA11750,Cobar,182.04762,0.0,175.0,0.0,182.04762,175.0
LGA11800,Coffs Harbour,546.8915400000002,356.17824,512.25,342.5,490.92132999999995,459.0
LGA12000,Coolamon,223.25882,0.0,200.0,0.0,223.25882,200.0
LGA12150,Coonamble,128.64286,0.0,118.0,0.0,128.64286,118.0
LGA13510,Gundagai,268.97614,0.0,244.0,0.0,268.97614,244.0
LGA12350,Cowra,225.25,0.0,214.0,0.0,225.25,214.0
LGA12380,Cumberland,979.63626,562.0175,912.5,560.0,777.61983,730.0
LGA18230,Western Plains Regional,344.15301,310.70833,333.0,337.5,342.39276,333.0
LGA12700,Dungog,594.2710500000002,0.0,525.0,0.0,594.2710500000002,525.0
LGA12730,Edward River,239.22,0.0,210.0,0.0,239.22,210.0
LGA12750,Eurobodalla,480.14523,340.92379,450.0,336.0,453.50409,432.5
LGA12850,Fairfield,861.13634,435.80297,840.0,440.0,771.48273,790.0
LGA12870,Federation,285.34443999999996,0.0,287.5,0.0,282.92857000000004,280.0
LGA12900,Forbes,275.46296,0.0,260.0,0.0,275.46296,260.0
LGA12930,Georges River,1487.62567,740.73488,1410.0,724.0,1125.14247,1045.0
LGA12950,Gilgandra,0.0,0.0,0.0,0.0,0.0,0.0
LGA13010,Glen Innes Severn,207.52438999999998,0.0,175.0,0.0,207.52438999999998,175.0
LGA13310,Goulburn Mulwaree,456.7404,327.08333,430.0,334.75,443.84632999999997,424.0
LGA13340,Greater Hume Shire,274.59211,0.0,213.5,0.0,271.91026,202.0
LGA13450,Griffith,328.07251,0.0,319.5,0.0,324.03635,310.0
LGA13550,Gunnedah,357.3565200000001,0.0,351.5,0.0,381.23800000000006,354.0
LGA13660,Gwydir,0.0,0.0,0.0,0.0,0.0,0.0
LGA13800,Hawkesbury,999.2429900000001,435.83333,825.0,451.0,926.04409,785.0
LGA13850,Hay,135.28125,0.0,136.0,0.0,135.28125,136.0
LGA13910,Hilltops,261.06635,0.0,238.8885,0.0,261.06635,238.8885
LGA14000,Hornsby,1538.1877,766.1560900000001,1490.0,723.75,1260.76074,1260.0
LGA14100,Hunters Hill,3028.6923100000004,1334.71154,2755.0,1241.0,2181.70192,2125.0
LGA14170,Inner West,1739.5263799999998,847.4059300000001,1650.0,790.0,1308.09997,1270.0
LGA14200,Inverell,270.78561,0.0,242.0,0.0,270.78561,242.0
LGA14300,Junee,282.7578900000001,0.0,230.0,0.0,282.7578900000001,230.0
LGA14350,Kempsey,360.59542000000005,276.05556,350.0,261.25,348.42168,330.0
LGA14400,Kiama,917.5270800000001,615.20614,829.0,610.0,857.6076099999999,794.0
LGA14500,Ku-Ring-Gai,2583.99192,1072.9937300000001,2400.0,990.95,2056.89953,1952.5
LGA14550,Kyogle,300.85135,0.0,300.0,0.0,300.85135,300.0
LGA14600,Lachlan,153.57143,0.0,130.0,0.0,153.57143,130.0
LGA14650,Lake Macquarie,592.3158400000001,469.74015,560.0,448.5,577.91147,545.0
LGA14700,Lane Cove,3439.90761,872.3475199999999,2720.0,823.5,1964.92628,1140.5
LGA14750,Leeton,249.88889,0.0,256.5,0.0,248.57895,256.5
LGA14850,Lismore,426.01566,332.40625,395.0,321.5,417.4079,389.5
LGA14870,Lithgow,379.82701,0.0,320.0,0.0,378.3517,320.0
LGA14900,Liverpool,862.1691300000001,499.50948,820.0,510.0,766.38361,750.5
LGA14920,Liverpool Plains,229.61111,0.0,183.5,0.0,229.61111,183.5
LGA14950,Lockhart,0.0,0.0,0.0,0.0,0.0,0.0
LGA15050,Maitland,462.36305,335.625,448.0,326.5,449.36428,431.0
LGA15240,Mid-Coast,459.60599,337.72356,430.0,319.445,435.65111,415.0
LGA15270,Mid-Western Regional,383.36364,0.0,350.0,0.0,378.70583999999997,345.0
LGA15300,Moree Plains,175.16666999999998,0.0,130.0,0.0,175.16666999999998,130.0
LGA15350,Mosman,4083.07936,1409.62105,3585.0,1240.0,2475.62025,2177.5
LGA15520,Murray River,330.5,0.0,310.0,0.0,320.4,305.0
LGA15560,Murrumbidgee,0.0,0.0,0.0,0.0,0.0,0.0
LGA15650,Muswellbrook,311.07142999999996,0.0,312.5,0.0,303.1583300000001,298.5
LGA15700,Nambucca,389.80556,0.0,372.0,0.0,373.27439,348.0
LGA15750,Narrabri,319.9352899999999,0.0,287.5,0.0,319.9352899999999,287.5
LGA15800,Narrandera,160.55556,0.0,145.0,0.0,160.55556,145.0
LGA15850,Narromine,223.28125,0.0,202.5,0.0,223.28125,202.5
LGA15900,Newcastle,688.34035,544.29508,625.5,480.0,647.63595,595.0
LGA15950,North Sydney,2790.4861100000003,1301.04206,2480.0,1170.0,1561.33325,1300.5
LGA15990,Northern Beaches,2020.68345,999.10274,1850.0,900.0,1522.81192,1488.1
LGA16100,Oberon,579.525,0.0,517.5,0.0,579.525,517.5
LGA16150,Orange,398.45,219.70833,375.0,233.5,389.39979,370.0
LGA16200,Parkes,245.07895,0.0,244.75,0.0,245.07895,244.75
LGA16260,Parramatta,1422.38415,728.8591600000002,1350.0,700.0,964.38364,830.0
LGA16350,Penrith,756.57915,483.20825,710.0,500.0,680.92443,669.0
LGA16380,Port Macquarie-Hastings,581.2502,642.51079,552.25,412.5,598.63496,517.25
LGA16400,Port Stephens,537.84007,444.19277,516.5,410.0,517.05738,480.0
LGA16490,Queanbeyan-Palerang Regional,626.4977700000002,327.70337,620.0,335.0,527.2712700000002,508.75
LGA16550,Randwick,2459.8161800000007,1051.1758,2295.0,972.0,1592.7126,1290.0
LGA16610,Richmond Valley,307.71727999999996,309.0333300000001,292.0,290.0,307.92292000000003,291.5
LGA16700,Ryde,1889.12275,783.27084,1830.0,736.0,1205.04738,910.0
LGA16900,Shellharbour,700.32386,507.74,672.5,507.5,664.6601900000001,635.0
LGA16950,Shoalhaven,586.67697,408.10465000000005,535.0,370.0,572.94064,525.0
LGA17000,Singleton,481.82795,0.0,447.0,0.0,462.31187,437.0
LGA17040,Snowy Monaro Regional,357.0532800000001,295.0,290.0,310.0,340.01048,290.0
LGA17080,Snowy Valleys,246.90984,0.0,235.0,0.0,246.79838999999998,237.5
LGA17100,Strathfield,2586.0222200000007,682.29967,2420.0,680.0,1192.22536,720.0
LGA17150,Sutherland Shire,1468.80414,875.85725,1350.0,820.0,1226.8475,1165.0
LGA17200,Sydney,1890.66106,1020.53761,1780.0,935.0,1139.81761,1009.0
LGA17310,Tamworth Regional,356.40033,296.07692000000003,340.0,244.0,353.32502,333.0
LGA17350,Temora,243.0,0.0,212.0,0.0,243.0,212.0
LGA17400,Tenterfield,263.88889,0.0,252.5,0.0,263.88889,252.5
LGA17420,The Hills Shire,1474.8538600000004,830.81573,1365.0,855.0,1328.12517,1260.0
LGA17550,Tweed,653.2486600000002,415.45416,621.25,403.0,554.32615,530.0
LGA17620,Upper Hunter Shire,332.90812999999997,0.0,312.5,0.0,332.90812999999997,312.5
LGA17640,Upper Lachlan Shire,376.44444,0.0,331.25,0.0,376.44444,331.25
LGA17650,Uralla,375.41176,0.0,320.0,0.0,375.41176,320.0
LGA17750,Wagga Wagga,376.11009,231.11905,357.0,247.0,365.15753,345.0
LGA17850,Walcha,0.0,0.0,0.0,0.0,0.0,0.0
LGA17900,Walgett,0.0,0.0,0.0,0.0,0.0,0.0
LGA17950,Warren,0.0,0.0,0.0,0.0,0.0,0.0
LGA18020,Warrumbungle Shire,219.70587999999998,0.0,200.0,0.0,219.70587999999998,200.0
LGA18050,Waverley,3135.6039600000004,1235.74564,2900.0,1152.5,1779.3311600000002,1360.0
LGA18100,Weddin,0.0,0.0,0.0,0.0,0.0,0.0
LGA18200,Wentworth,230.15294,0.0,212.0,0.0,228.09142999999997,210.0
LGA18250,Willoughby,2613.39276,1069.48095,2439.0,998.368,1805.13799,1580.0
LGA18350,Wingecarribee,1020.1124300000001,680.5689699999998,870.0,511.0,986.62005,832.5
LGA18400,Wollondilly,883.56434,0.0,766.25,0.0,870.1977400000001,755.0
LGA18450,Wollongong,824.16162,573.67852,785.0,560.0,739.8375,680.0
LGA18500,Woollahra,4169.685,1822.74365,3625.0,1500.0,2758.40133,2225.0
LGA18710,Yass Valley,614.15102,0.0,542.5,0.0,609.5966900000001,541.25
