LGA_CODE,LGA_NAME,r_one_br,r_two_br,r_three_br,r_four_or_more_br,r_bedsitter,r_not_specified,r_flat,r_house,r_other,r_townhouse,r_weekly_rent_median
LGA14850,Lismore,210.0,283.0,380.0,460.0,0.0,0.0,260.0,385.0,0.0,310.0,360.0
LGA14870,Lithgow,0.0,270.0,300.0,390.0,0.0,0.0,220.0,300.0,0.0,0.0,295.0
LGA14900,Liverpool,325.0,390.0,470.0,580.0,0.0,420.0,390.0,500.0,400.0,465.0,430.0
LGA14920,Liverpool Plains,0.0,190.0,260.0,0.0,0.0,0.0,165.0,260.0,0.0,0.0,249.0
LGA15050,Maitland,210.0,310.0,380.0,460.0,0.0,380.0,290.0,420.0,350.0,350.0,385.0
LGA15240,Mid-Coast,210.0,295.0,360.0,440.0,0.0,268.0,280.0,360.0,320.0,350.0,330.0
LGA15270,Mid-Western Regional,240.0,298.0,380.0,430.0,0.0,0.0,300.0,385.0,390.0,423.0,380.0
LGA15300,Moree Plains,0.0,185.0,300.0,310.0,0.0,0.0,180.0,280.0,0.0,0.0,250.0
LGA15350,Mosman,480.0,650.0,1150.0,2000.0,0.0,750.0,593.0,1550.0,0.0,930.0,650.0
LGA15520,Murray River,0.0,260.0,343.0,0.0,0.0,0.0,0.0,348.0,0.0,0.0,330.0
LGA15650,Muswellbrook,0.0,250.0,320.0,400.0,0.0,355.0,223.0,378.0,380.0,0.0,350.0
LGA15700,Nambucca,0.0,280.0,360.0,430.0,0.0,0.0,253.0,365.0,0.0,0.0,350.0
LGA15750,Narrabri,210.0,220.0,345.0,380.0,0.0,0.0,215.0,350.0,0.0,0.0,320.0
LGA15800,Narrandera,0.0,185.0,250.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,220.0
LGA15850,Narromine,0.0,0.0,260.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,250.0
LGA15900,Newcastle,260.0,400.0,450.0,540.0,0.0,335.0,360.0,448.0,185.0,448.0,400.0
LGA15950,North Sydney,500.0,680.0,950.0,1425.0,440.0,608.0,610.0,1000.0,560.0,900.0,633.0
LGA15990,Northern Beaches,495.0,643.0,900.0,1150.0,495.0,500.0,595.0,950.0,663.0,818.0,660.0
LGA16100,Oberon,0.0,0.0,330.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,328.0
LGA16150,Orange,220.0,273.0,350.0,430.0,0.0,373.0,260.0,380.0,340.0,345.0,350.0
LGA16200,Parkes,0.0,230.0,290.0,365.0,0.0,0.0,200.0,300.0,0.0,0.0,283.0
LGA16260,Parramatta,450.0,480.0,550.0,700.0,0.0,430.0,480.0,550.0,455.0,550.0,490.0
LGA16350,Penrith,300.0,350.0,410.0,520.0,380.0,380.0,360.0,430.0,340.0,400.0,400.0
LGA16380,Port Macquarie-Hastings,231.0,330.0,420.0,515.0,0.0,400.0,320.0,440.0,370.0,380.0,380.0
LGA16400,Port Stephens,240.0,320.0,400.0,500.0,0.0,0.0,320.0,430.0,350.0,400.0,400.0
LGA16490,Queanbeyan-Palerang Regional,240.0,350.0,480.0,658.0,0.0,0.0,300.0,548.0,325.0,430.0,410.0
LGA16550,Randwick,495.0,640.0,850.0,1250.0,420.0,430.0,600.0,950.0,500.0,900.0,620.0
LGA16610,Richmond Valley,0.0,285.0,350.0,450.0,0.0,0.0,275.0,350.0,300.0,0.0,340.0
LGA16700,Ryde,470.0,500.0,655.0,835.0,0.0,600.0,490.0,650.0,550.0,600.0,510.0
LGA16900,Shellharbour,280.0,370.0,470.0,560.0,0.0,0.0,340.0,490.0,440.0,480.0,463.0
LGA16950,Shoalhaven,250.0,320.0,380.0,470.0,0.0,320.0,295.0,390.0,365.0,365.0,370.0
LGA17000,Singleton,0.0,280.0,380.0,460.0,0.0,415.0,285.0,415.0,0.0,0.0,375.0
LGA17040,Snowy Monaro Regional,360.0,380.0,435.0,650.0,0.0,0.0,478.0,380.0,0.0,1180.0,440.0
LGA17080,Snowy Valleys,0.0,230.0,280.0,335.0,0.0,0.0,210.0,270.0,0.0,0.0,250.0
LGA17100,Strathfield,440.0,510.0,620.0,870.0,0.0,500.0,500.0,680.0,480.0,655.0,510.0
LGA17150,Sutherland Shire,400.0,480.0,650.0,848.0,0.0,580.0,470.0,680.0,495.0,650.0,550.0
LGA17200,Sydney,560.0,780.0,1000.0,1170.0,430.0,585.0,650.0,793.0,515.0,850.0,650.0
LGA17310,Tamworth Regional,195.0,263.0,320.0,395.0,0.0,300.0,250.0,340.0,300.0,300.0,320.0
LGA17350,Temora,0.0,0.0,270.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,260.0
LGA17400,Tenterfield,0.0,200.0,260.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,230.0
LGA17420,The Hills Shire,405.0,495.0,570.0,670.0,0.0,580.0,500.0,625.0,490.0,570.0,580.0
