LGA_CODE,LGA_NAME,s_mean_nonstrata,s_mean_strata,s_median_nonstrata,s_median_strata,s_mean_sales,s_median_sales,r_one_br,r_two_br,r_three_br,r_four_or_more_br,r_bedsitter,r_not_specified,r_flat,r_house,r_other,r_townhouse,r_weekly_rent_median
LGA12900,Forbes,252.0,0.0,229.0,0.0,252.0,229.0,0.0,200.0,270.0,300.0,0.0,0.0,205.0,268.0,0.0,0.0,248.0
LGA12930,Georges River,1231.0,655.0,1200.0,650.0,923.0,810.0,410.0,480.0,600.0,780.0,310.0,500.0,490.0,590.0,490.0,650.0,510.0
LGA12950,Gilgandra,183.0,0.0,169.0,0.0,183.0,169.0,,,,,,,150.0,250.0,0.0,0.0,188.0
LGA13010,Glen Innes Severn,223.0,0.0,203.0,0.0,223.0,203.0,0.0,213.0,250.0,0.0,0.0,0.0,160.0,245.0,0.0,0.0,233.0
LGA13310,Goulburn Mulwaree,427.0,0.0,410.0,0.0,424.0,410.0,0.0,300.0,360.0,440.0,0.0,0.0,260.0,370.0,360.0,330.0,360.0
LGA13340,Greater Hume Shire,216.0,0.0,199.0,0.0,216.0,199.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,278.0,0.0,0.0,270.0
LGA13450,Griffith,390.0,0.0,355.0,0.0,390.0,355.0,180.0,260.0,340.0,400.0,0.0,330.0,260.0,350.0,325.0,330.0,320.0
LGA13550,Gunnedah,313.0,0.0,315.0,0.0,313.0,315.0,170.0,250.0,340.0,430.0,0.0,0.0,240.0,360.0,200.0,0.0,335.0
LGA13660,Gwydir,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,220.0,0.0,0.0,218.0
LGA13800,Hawkesbury,834.0,443.0,750.0,470.0,762.0,700.0,230.0,340.0,420.0,550.0,0.0,500.0,340.0,450.0,290.0,400.0,420.0
LGA13850,Hay,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,195.0
LGA13910,Hilltops,276.0,0.0,250.0,0.0,276.0,250.0,0.0,230.0,275.0,300.0,0.0,0.0,220.0,275.0,0.0,0.0,260.0
LGA14000,Hornsby,1221.0,648.0,1175.0,646.0,1011.0,1018.0,413.0,490.0,600.0,750.0,0.0,458.0,465.0,660.0,460.0,580.0,520.0
LGA14100,Hunters Hill,2769.0,1541.0,2500.0,1620.0,2347.0,2260.0,445.0,560.0,935.0,1450.0,0.0,0.0,480.0,1075.0,0.0,750.0,620.0
LGA14170,Inner West,1465.0,749.0,1353.0,699.0,1154.0,1100.0,430.0,590.0,850.0,1050.0,340.0,540.0,500.0,780.0,500.0,710.0,560.0
LGA14200,Inverell,268.0,0.0,255.0,0.0,268.0,255.0,175.0,230.0,300.0,330.0,0.0,295.0,190.0,300.0,0.0,320.0,290.0
LGA14300,Junee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,290.0
LGA14350,Kempsey,359.0,0.0,341.0,0.0,360.0,341.0,220.0,280.0,350.0,380.0,0.0,310.0,265.0,350.0,260.0,350.0,320.0
LGA14400,Kiama,918.0,598.0,833.0,610.0,845.0,773.0,400.0,450.0,520.0,628.0,0.0,0.0,435.0,550.0,0.0,490.0,500.0
LGA14500,Ku-Ring-Gai,2065.0,951.0,1910.0,880.0,1634.0,1525.0,480.0,595.0,820.0,1100.0,0.0,723.0,580.0,958.0,670.0,835.0,650.0
LGA14550,Kyogle,300.0,0.0,284.0,0.0,300.0,284.0,0.0,250.0,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,300.0
LGA14600,Lachlan,151.0,0.0,137.0,0.0,151.0,137.0,,,,,,,,,,,220.0
