LGA_CODE,LGA_NAME,flat,house,other,townhouse
LGA10050,Albury,200.0,310.0,277.5,277.5
LGA10130,Armidale Regional,230.0,330.0,0.0,0.0
LGA10250,Ballina,350.0,510.0,415.0,455.0
LGA10470,Bathurst Regional,260.0,340.0,310.0,280.0
LGA10550,Bega Valley,265.0,355.0,350.0,330.0
LGA10600,Bellingen,267.5,365.0,0.0,0.0
LGA10650,Berrigan,175.0,240.0,0.0,0.0
LGA10750,Blacktown,380.0,477.5,395.0,470.0
LGA10850,Blayney,190.0,280.0,0.0,0.0
LGA10900,Blue Mountains,340.0,440.0,400.0,390.0
LGA10950,Bogan,0.0,240.0,0.0,0.0
LGA11250,Broken Hill,185.0,232.5,0.0,0.0
LGA11300,Burwood,550.0,690.0,550.0,600.0
LGA11350,Byron,420.0,620.0,475.0,600.0
LGA11400,Cabonne,0.0,250.0,0.0,0.0
LGA11450,Camden,380.0,520.0,445.0,450.0
LGA11500,Campbelltown,350.0,430.0,390.0,380.0
LGA11520,Canada Bay,610.0,750.0,555.0,700.0
LGA11570,Canterbury-Bankstown,430.0,560.0,440.0,570.0
LGA11650,Central Coast,350.0,440.0,350.0,420.0
LGA11720,Cessnock,280.0,360.0,320.0,320.0
LGA11730,Clarence Valley,272.5,375.0,365.0,355.0
LGA11750,Cobar,160.0,210.0,0.0,0.0
LGA11800,Coffs Harbour,310.0,415.0,340.0,360.0
LGA12000,Coolamon,0.0,260.0,0.0,0.0
LGA12150,Coonamble,0.0,200.0,0.0,0.0
LGA13510,Gundagai,170.0,250.0,0.0,0.0
LGA12350,Cowra,172.5,250.0,0.0,0.0
LGA12380,Cumberland,450.0,510.0,450.0,540.0
LGA18230,Western Plains Regional,230.0,330.0,285.0,340.0
LGA12700,Dungog,0.0,355.0,0.0,0.0
LGA12730,Edward River,155.0,260.0,0.0,0.0
LGA12750,Eurobodalla,260.0,350.0,280.0,325.0
LGA12850,Fairfield,350.0,490.0,400.0,460.0
LGA12870,Federation,175.0,280.0,0.0,0.0
LGA12900,Forbes,185.0,245.0,0.0,0.0
LGA12930,Georges River,480.0,610.0,507.5,630.0
LGA12950,Gilgandra,0.0,230.0,0.0,0.0
LGA13010,Glen Innes Severn,160.0,242.5,0.0,0.0
LGA13310,Goulburn Mulwaree,235.0,350.0,370.0,300.0
LGA13340,Greater Hume Shire,0.0,240.0,0.0,0.0
LGA13450,Griffith,250.0,340.0,280.0,0.0
LGA13550,Gunnedah,250.0,325.0,0.0,0.0
LGA13660,Gwydir,0.0,230.0,0.0,0.0
LGA13800,Hawkesbury,315.0,462.5,420.0,410.0
LGA13850,Hay,150.0,210.0,0.0,0.0
LGA13910,Hilltops,220.0,270.0,0.0,0.0
LGA14000,Hornsby,500.0,700.0,535.0,605.0
LGA14100,Hunters Hill,560.0,1100.0,0.0,0.0
LGA14170,Inner West,500.0,780.0,500.0,750.0
LGA14200,Inverell,180.0,285.0,290.0,0.0
LGA14300,Junee,0.0,270.0,0.0,0.0
LGA14350,Kempsey,267.5,322.5,307.5,0.0
LGA14400,Kiama,420.0,545.0,0.0,505.0
LGA14500,Ku-Ring-Gai,630.0,1000.0,600.0,765.0
LGA14550,Kyogle,0.0,280.0,0.0,0.0
LGA14600,Lachlan,0.0,215.0,0.0,0.0
LGA14650,Lake Macquarie,310.0,420.0,350.0,380.0
LGA14700,Lane Cove,560.0,900.0,650.0,600.0
LGA14750,Leeton,190.0,275.0,0.0,0.0
LGA14850,Lismore,250.0,360.0,290.0,300.0
LGA14870,Lithgow,210.0,297.5,280.0,282.5
LGA14900,Liverpool,390.0,520.0,430.0,490.0
LGA14920,Liverpool Plains,0.0,260.0,0.0,0.0
LGA15050,Maitland,280.0,400.0,350.0,337.5
LGA15240,Mid-Coast,270.0,360.0,275.0,330.0
LGA15270,Mid-Western Regional,275.0,350.0,300.0,350.0
LGA15300,Moree Plains,165.0,270.0,0.0,0.0
LGA15350,Mosman,620.0,1500.0,710.0,1272.5
LGA15520,Murray River,250.0,332.5,0.0,0.0
LGA15560,Murrumbidgee,0.0,200.0,0.0,0.0
LGA15650,Muswellbrook,200.0,310.0,290.0,280.0
LGA15700,Nambucca,250.0,350.0,0.0,317.5
LGA15750,Narrabri,200.0,350.0,0.0,0.0
LGA15800,Narrandera,0.0,240.0,0.0,0.0
LGA15850,Narromine,0.0,247.5,270.0,0.0
LGA15900,Newcastle,350.0,420.0,272.5,430.0
LGA15950,North Sydney,625.0,1000.0,600.0,925.0
LGA15990,Northern Beaches,600.0,955.0,580.0,850.0
LGA16100,Oberon,0.0,330.0,0.0,0.0
LGA16150,Orange,250.0,350.0,267.5,282.5
LGA16200,Parkes,150.0,260.0,0.0,0.0
LGA16260,Parramatta,500.0,582.5,460.0,580.0
LGA16350,Penrith,350.0,450.0,370.0,410.0
LGA16380,Port Macquarie-Hastings,295.0,430.0,355.0,380.0
LGA16400,Port Stephens,295.0,410.0,377.5,380.0
LGA16490,Queanbeyan-Palerang Regional,260.0,450.0,320.0,395.0
LGA16550,Randwick,625.0,1000.0,500.0,850.0
LGA16610,Richmond Valley,237.5,320.0,300.0,290.0
LGA16700,Ryde,500.0,700.0,515.0,660.0
LGA16900,Shellharbour,350.0,480.0,450.0,450.0
LGA16950,Shoalhaven,280.0,380.0,370.0,350.0
LGA17000,Singleton,260.0,362.5,280.0,340.0
LGA17040,Snowy Monaro Regional,205.0,302.5,0.0,0.0
LGA17080,Snowy Valleys,220.0,270.0,240.0,0.0
LGA17100,Strathfield,520.0,720.0,500.0,675.0
LGA17150,Sutherland Shire,480.0,680.0,510.0,650.0
LGA17200,Sydney,650.0,780.0,454.0,767.5
LGA17310,Tamworth Regional,230.0,320.0,280.0,327.5
LGA17350,Temora,0.0,255.0,0.0,0.0
LGA17400,Tenterfield,140.0,250.0,0.0,0.0
LGA17420,The Hills Shire,545.0,675.0,595.0,600.0
LGA17550,Tweed,360.0,510.0,405.0,427.5
LGA17620,Upper Hunter Shire,230.0,300.0,275.0,0.0
LGA17640,Upper Lachlan Shire,0.0,300.0,0.0,0.0
LGA17650,Uralla,0.0,290.0,0.0,0.0
LGA17750,Wagga Wagga,250.0,320.0,280.0,300.0
LGA18020,Warrumbungle Shire,0.0,217.5,0.0,0.0
LGA18050,Waverley,700.0,1025.0,687.5,1000.0
LGA18200,Wentworth,192.5,250.0,0.0,0.0
LGA18250,Willoughby,630.0,1025.0,692.5,850.0
LGA18350,Wingecarribee,350.0,500.0,325.0,455.0
LGA18400,Wollondilly,322.5,450.0,430.0,0.0
LGA18450,Wollongong,370.0,495.0,370.0,490.0
LGA18500,Woollahra,680.0,1215.0,680.0,1100.0
LGA18710,Yass Valley,0.0,375.0,0.0,0.0
