LGA_CODE,LGA_NAME,median_nonstrata,median_strata
LGA10050,Albury,320.0,206.0
LGA10130,Armidale Regional,352.5,0.0
LGA10250,Ballina,639.5,424.0
LGA10300,Balranald,0.0,0.0
LGA10470,Bathurst Regional,417.0,280.0
LGA10550,Bega Valley,460.0,285.0
LGA10600,Bellingen,547.5,0.0
LGA10650,Berrigan,225.0,0.0
LGA10750,Blacktown,780.0,550.0
LGA10800,Bland,165.0,0.0
LGA10850,Blayney,271.75,0.0
LGA10900,Blue Mountains,685.0,510.0
LGA10950,Bogan,0.0,0.0
LGA11150,Bourke,0.0,0.0
LGA11200,Brewarrina,0.0,0.0
LGA11250,Broken Hill,87.5,0.0
LGA11300,Burwood,2460.0,852.0
LGA11350,Byron,940.0,735.0
LGA11400,Cabonne,345.0,0.0
LGA11450,Camden,750.0,520.0
LGA11500,Campbelltown,645.0,485.0
LGA11520,Canada Bay,2155.0,930.0
LGA11570,Canterbury-Bankstown,1051.0,590.4
LGA11600,Carrathool,0.0,0.0
LGA11650,Central Coast,660.0,485.0
LGA11720,Cessnock,356.0,285.0
LGA11730,Clarence Valley,370.0,391.5
LGA11750,Cobar,175.0,0.0
LGA11800,Coffs Harbour,512.25,342.5
LGA12000,Coolamon,200.0,0.0
LGA12150,Coonamble,118.0,0.0
LGA13510,Gundagai,244.0,0.0
LGA12350,Cowra,214.0,0.0
LGA12380,Cumberland,912.5,560.0
LGA18230,Western Plains Regional,333.0,337.5
LGA12700,Dungog,525.0,0.0
LGA12730,Edward River,210.0,0.0
LGA12750,Eurobodalla,450.0,336.0
LGA12850,Fairfield,840.0,440.0
LGA12870,Federation,287.5,0.0
LGA12900,Forbes,260.0,0.0
LGA12930,Georges River,1410.0,724.0
LGA12950,Gilgandra,0.0,0.0
LGA13010,Glen Innes Severn,175.0,0.0
LGA13310,Goulburn Mulwaree,430.0,334.75
LGA13340,Greater Hume Shire,213.5,0.0
LGA13450,Griffith,319.5,0.0
LGA13550,Gunnedah,351.5,0.0
LGA13660,Gwydir,0.0,0.0
LGA13800,Hawkesbury,825.0,451.0
LGA13850,Hay,136.0,0.0
LGA13910,Hilltops,238.8885,0.0
LGA14000,Hornsby,1490.0,723.75
LGA14100,Hunters Hill,2755.0,1241.0
LGA14170,Inner West,1650.0,790.0
LGA14200,Inverell,242.0,0.0
LGA14300,Junee,230.0,0.0
LGA14350,Kempsey,350.0,261.25
LGA14400,Kiama,829.0,610.0
LGA14500,Ku-Ring-Gai,2400.0,990.95
LGA14550,Kyogle,300.0,0.0
LGA14600,Lachlan,130.0,0.0
LGA14650,Lake Macquarie,560.0,448.5
LGA14700,Lane Cove,2720.0,823.5
LGA14750,Leeton,256.5,0.0
LGA14850,Lismore,395.0,321.5
LGA14870,Lithgow,320.0,0.0
LGA14900,Liverpool,820.0,510.0
LGA14920,Liverpool Plains,183.5,0.0
LGA14950,Lockhart,0.0,0.0
LGA15050,Maitland,448.0,326.5
LGA15240,Mid-Coast,430.0,319.445
LGA15270,Mid-Western Regional,350.0,0.0
LGA15300,Moree Plains,130.0,0.0
LGA15350,Mosman,3585.0,1240.0
LGA15520,Murray River,310.0,0.0
LGA15560,Murrumbidgee,0.0,0.0
LGA15650,Muswellbrook,312.5,0.0
LGA15700,Nambucca,372.0,0.0
LGA15750,Narrabri,287.5,0.0
LGA15800,Narrandera,145.0,0.0
LGA15850,Narromine,202.5,0.0
LGA15900,Newcastle,625.5,480.0
LGA15950,North Sydney,2480.0,1170.0
LGA15990,Northern Beaches,1850.0,900.0
LGA16100,Oberon,517.5,0.0
LGA16150,Orange,375.0,233.5
LGA16200,Parkes,244.75,0.0
LGA16260,Parramatta,1350.0,700.0
LGA16350,Penrith,710.0,500.0
LGA16380,Port Macquarie-Hastings,552.25,412.5
LGA16400,Port Stephens,516.5,410.0
LGA16490,Queanbeyan-Palerang Regional,620.0,335.0
LGA16550,Randwick,2295.0,972.0
LGA16610,Richmond Valley,292.0,290.0
LGA16700,Ryde,1830.0,736.0
LGA16900,Shellharbour,672.5,507.5
LGA16950,Shoalhaven,535.0,370.0
LGA17000,Singleton,447.0,0.0
LGA17040,Snowy Monaro Regional,290.0,310.0
LGA17080,Snowy Valleys,235.0,0.0
LGA17100,Strathfield,2420.0,680.0
LGA17150,Sutherland Shire,1350.0,820.0
LGA17200,Sydney,1780.0,935.0
LGA17310,Tamworth Regional,340.0,244.0
LGA17350,Temora,212.0,0.0
LGA17400,Tenterfield,252.5,0.0
LGA17420,The Hills Shire,1365.0,855.0
LGA17550,Tweed,621.25,403.0
LGA17620,Upper Hunter Shire,312.5,0.0
LGA17640,Upper Lachlan Shire,331.25,0.0
LGA17650,Uralla,320.0,0.0
LGA17750,Wagga Wagga,357.0,247.0
LGA17850,Walcha,0.0,0.0
LGA17900,Walgett,0.0,0.0
LGA17950,Warren,0.0,0.0
LGA18020,Warrumbungle Shire,200.0,0.0
LGA18050,Waverley,2900.0,1152.5
LGA18100,Weddin,0.0,0.0
LGA18200,Wentworth,212.0,0.0
LGA18250,Willoughby,2439.0,998.368
LGA18350,Wingecarribee,870.0,511.0
LGA18400,Wollondilly,766.25,0.0
LGA18450,Wollongong,785.0,560.0
LGA18500,Woollahra,3625.0,1500.0
LGA18710,Yass Valley,542.5,0.0
