LGA_CODE,LGA_NAME,mean_nonstrata,mean_strata
LGA17750,Wagga Wagga,376.11009,231.11905
LGA17850,Walcha,0.0,0.0
LGA17900,Walgett,0.0,0.0
LGA17950,Warren,0.0,0.0
LGA18020,Warrumbungle Shire,219.70588,0.0
LGA18050,Waverley,3135.60396,1235.7456399999999
LGA18100,Weddin,0.0,0.0
LGA18200,Wentworth,230.15294,0.0
LGA18250,Willoughby,2613.3927599999997,1069.48095
LGA18350,Wingecarribee,1020.11243,680.5689699999999
LGA18400,Wollondilly,883.56434,0.0
LGA18450,Wollongong,824.16162,573.67852
LGA18500,Woollahra,4169.685,1822.74365
LGA18710,Yass Valley,614.15102,0.0
