LGA_CODE,LGA_NAME,mean_nonstrata,mean_strata
LGA10050,Albury,350.72904,197.23513
LGA10130,Armidale Regional,372.99474,0.0
LGA10250,Ballina,695.14002,463.46875
LGA10300,Balranald,0.0,0.0
LGA10470,Bathurst Regional,436.94776,293.44444
LGA10550,Bega Valley,480.04897,292.83431
LGA10600,Bellingen,561.5535699999999,0.0
LGA10650,Berrigan,249.65,0.0
LGA10750,Blacktown,795.08317,550.4590999999999
LGA10800,Bland,185.63043,0.0
LGA10850,Blayney,324.76562,0.0
LGA10900,Blue Mountains,710.5097099999999,546.68333
LGA10950,Bogan,0.0,0.0
LGA11150,Bourke,0.0,0.0
LGA11200,Brewarrina,0.0,0.0
LGA11250,Broken Hill,109.88417999999999,0.0
LGA11300,Burwood,8648.04734,848.7469100000001
LGA11350,Byron,1091.2973,838.82222
LGA11400,Cabonne,372.15322,0.0
LGA11450,Camden,784.61334,529.30882
LGA11500,Campbelltown,666.8058199999999,484.79168
LGA11520,Canada Bay,2230.7088,1017.02949
LGA11570,Canterbury-Bankstown,1105.96576,612.36991
LGA11600,Carrathool,0.0,0.0
LGA11650,Central Coast,715.96414,521.10668
LGA11720,Cessnock,398.55139,286.34545
LGA11730,Clarence Valley,387.56543,408.55625
LGA11750,Cobar,182.04762,0.0
LGA11800,Coffs Harbour,546.8915400000001,356.17824
LGA12000,Coolamon,223.25882000000001,0.0
LGA12150,Coonamble,128.64286,0.0
LGA13510,Gundagai,268.97614,0.0
LGA12350,Cowra,225.25,0.0
LGA12380,Cumberland,979.63626,562.0175
LGA18230,Western Plains Regional,344.15301,310.70833
LGA12700,Dungog,594.2710500000001,0.0
LGA12730,Edward River,239.22,0.0
LGA12750,Eurobodalla,480.14522999999997,340.92379
LGA12850,Fairfield,861.13634,435.80296999999996
LGA12870,Federation,285.34444,0.0
LGA12900,Forbes,275.46296,0.0
LGA12930,Georges River,1487.62567,740.73488
LGA12950,Gilgandra,0.0,0.0
LGA13010,Glen Innes Severn,207.52439,0.0
LGA13310,Goulburn Mulwaree,456.7404,327.08333
LGA13340,Greater Hume Shire,274.59211,0.0
LGA13450,Griffith,328.07251,0.0
LGA13550,Gunnedah,357.35652000000005,0.0
LGA13660,Gwydir,0.0,0.0
LGA13800,Hawkesbury,999.24299,435.83333
LGA13850,Hay,135.28125,0.0
LGA13910,Hilltops,261.06635,0.0
LGA14000,Hornsby,1538.1877,766.15609
LGA14100,Hunters Hill,3028.69231,1334.71154
LGA14170,Inner West,1739.5263799999998,847.40593
LGA14200,Inverell,270.78560999999996,0.0
LGA14300,Junee,282.75789000000003,0.0
LGA14350,Kempsey,360.59542,276.05556
LGA14400,Kiama,917.52708,615.20614
LGA14500,Ku-Ring-Gai,2583.99192,1072.99373
LGA14550,Kyogle,300.85134999999997,0.0
LGA14600,Lachlan,153.57143,0.0
LGA14650,Lake Macquarie,592.31584,469.74015
LGA14700,Lane Cove,3439.9076099999997,872.34752
LGA14750,Leeton,249.88889,0.0
LGA14850,Lismore,426.01565999999997,332.40625
LGA14870,Lithgow,379.82701000000003,0.0
LGA14900,Liverpool,862.16913,499.50948
LGA14920,Liverpool Plains,229.61111,0.0
LGA14950,Lockhart,0.0,0.0
LGA15050,Maitland,462.36305,335.625
LGA15240,Mid-Coast,459.60598999999996,337.72356
LGA15270,Mid-Western Regional,383.36364000000003,0.0
LGA15300,Moree Plains,175.16667,0.0
LGA15350,Mosman,4083.0793599999997,1409.62105
LGA15520,Murray River,330.5,0.0
LGA15560,Murrumbidgee,0.0,0.0
LGA15650,Muswellbrook,311.07143,0.0
LGA15700,Nambucca,389.80556,0.0
LGA15750,Narrabri,319.93528999999995,0.0
LGA15800,Narrandera,160.55555999999999,0.0
LGA15850,Narromine,223.28125,0.0
LGA15900,Newcastle,688.34035,544.29508
LGA15950,North Sydney,2790.48611,1301.04206
LGA15990,Northern Beaches,2020.68345,999.10274
LGA16100,Oberon,579.525,0.0
LGA16150,Orange,398.45,219.70833
LGA16200,Parkes,245.07895000000002,0.0
LGA16260,Parramatta,1422.3841499999999,728.8591600000001
LGA16350,Penrith,756.57915,483.20825
LGA16380,Port Macquarie-Hastings,581.2502,642.51079
LGA16400,Port Stephens,537.84007,444.19277
LGA16490,Queanbeyan-Palerang Regional,626.4977700000001,327.70337
LGA16550,Randwick,2459.8161800000003,1051.1758
LGA16610,Richmond Valley,307.71728,309.03333000000003
LGA16700,Ryde,1889.12275,783.27084
LGA16900,Shellharbour,700.32386,507.74
LGA16950,Shoalhaven,586.67697,408.10465000000005
LGA17000,Singleton,481.82795,0.0
LGA17040,Snowy Monaro Regional,357.05328000000003,295.0
LGA17080,Snowy Valleys,246.90984,0.0
LGA17100,Strathfield,2586.0222200000003,682.29967
LGA17150,Sutherland Shire,1468.80414,875.85725
LGA17200,Sydney,1890.6610600000001,1020.53761
LGA17310,Tamworth Regional,356.40033,296.07692
LGA17350,Temora,243.0,0.0
LGA17400,Tenterfield,263.88889,0.0
LGA17420,The Hills Shire,1474.8538600000002,830.81573
LGA17550,Tweed,653.2486600000001,415.45416
LGA17620,Upper Hunter Shire,332.90813,0.0
LGA17640,Upper Lachlan Shire,376.44444,0.0
LGA17650,Uralla,375.41176,0.0
