LGA_CODE,LGA_NAME,one_br,two_br,three_br,four_or_more_br,bedsitter,not_specified
LGA16610,Richmond Valley,0.0,285.0,350.0,450.0,0.0,0.0
LGA16700,Ryde,470.0,500.0,655.0,835.0,0.0,600.0
LGA16900,Shellharbour,280.0,370.0,470.0,560.0,0.0,0.0
LGA16950,Shoalhaven,250.0,320.0,380.0,470.0,0.0,320.0
LGA17000,Singleton,0.0,280.0,380.0,460.0,0.0,415.0
LGA17040,Snowy Monaro Regional,360.0,380.0,435.0,650.0,0.0,0.0
LGA17080,Snowy Valleys,0.0,230.0,280.0,335.0,0.0,0.0
LGA17100,Strathfield,440.0,510.0,620.0,870.0,0.0,500.0
LGA17150,Sutherland Shire,400.0,480.0,650.0,848.0,0.0,580.0
LGA17200,Sydney,560.0,780.0,1000.0,1170.0,430.0,585.0
LGA17310,Tamworth Regional,195.0,263.0,320.0,395.0,0.0,300.0
LGA17350,Temora,0.0,0.0,270.0,0.0,0.0,0.0
LGA17400,Tenterfield,0.0,200.0,260.0,0.0,0.0,0.0
LGA17420,The Hills Shire,405.0,495.0,570.0,670.0,0.0,580.0
LGA17550,Tweed,295.0,403.0,495.0,600.0,0.0,420.0
LGA17620,Upper Hunter Shire,0.0,230.0,320.0,380.0,0.0,0.0
LGA17650,Uralla,0.0,0.0,295.0,0.0,0.0,0.0
LGA17750,Wagga Wagga,191.0,240.0,330.0,420.0,0.0,0.0
LGA17900,Walgett,0.0,0.0,250.0,0.0,0.0,0.0
LGA17950,Warren,0.0,0.0,300.0,0.0,0.0,0.0
LGA18020,Warrumbungle Shire,0.0,175.0,235.0,0.0,0.0,0.0
LGA18050,Waverley,550.0,750.0,1100.0,1473.0,425.0,650.0
LGA18200,Wentworth,0.0,0.0,300.0,110.0,0.0,0.0
LGA18250,Willoughby,525.0,650.0,900.0,1200.0,405.0,625.0
LGA18350,Wingecarribee,310.0,365.0,460.0,565.0,0.0,0.0
LGA18400,Wollondilly,0.0,330.0,430.0,520.0,0.0,455.0
LGA18450,Wollongong,290.0,380.0,490.0,600.0,87.0,270.0
LGA18500,Woollahra,538.0,725.0,1200.0,2000.0,373.0,550.0
LGA18710,Yass Valley,0.0,320.0,380.0,520.0,0.0,0.0
