LGA_CODE,Age_below_15_yr,Age_15_64_yr,Age_over_65_yr,Age_below_15_yr_perc,Age_15_64_yr_perc,Age_over_65_yr_perc,BP_Aus,BP_Non_Aus,BP_Aus_Perc,BP_Non_Aus_Perc,SE_Yr10_above,SE_Yr9_below,SE_Yr10_above_Perc,SE_Yr9_below_Perc,MS_Married,MS_Separated,MS_Divorced,MS_Widowed,MS_Never_Married,MS_Single,MS_Married_Perc,MS_Separated_Perc,MS_Divorced_Perc,MS_Widowed_Perc,MS_Never_Married_Perc,MS_Single_Perc,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_fam_inc_weekly,Median_tot_hhd_inc_weekly,Average_household_size,P_Afghanistan_Tot,P_Australia_Tot,P_Bangladesh_Tot,P_Bosnia_Herzegov_Tot,P_Cambodia_Tot,P_Canada_Tot,P_Chile_Tot,P_China_Tot,P_Croatia_Tot,P_Egypt_Tot,P_England_Tot,P_Fiji_Tot,P_France_Tot,P_Germany_Tot,P_Greece_Tot,P_Hong_Kong_Tot,P_India_Tot,P_Indonesia_Tot,P_Iran_Tot,P_Iraq_Tot,P_Ireland_Tot,P_Italy_Tot,P_Japan_Tot,P_Korea_South_Tot,P_Lebanon_Tot,P_Malaysia_Tot,P_Malta_Tot,P_Mauritius_Tot,P_Myanmar_Tot,P_Nepal_Tot,P_Netherlands_Tot,P_New_Zealand_Tot,P_Nthern_Ireland_Tot,P_Pakistan_Tot,P_PNG_Tot,P_Philippines_Tot,P_Poland_Tot,P_Scotland_Tot,P_Singapore_Tot,P_South_Africa_Tot,P_SE_Europe_nfd_Tot,P_Sri_Lanka_Tot,P_Taiwan_Tot,P_Thailand_Tot,P_FYROM_Tot,P_Turkey_Tot,P_USA_Tot,P_Vietnam_Tot,P_Wales_Tot,P_Zimbabwe_Tot,P_Elsewhere_Tot,P_COB_NS_Tot,P_Y12e_Tot,P_Y11e_Tot,P_Y10e_Tot,P_Y9e_Tot,P_Y8b_Tot,P_DNGTS_Tot,P_Hghst_yr_schl_ns_Tot
LGA11800,13356,44209,15375,18.310940499040306,60.6100904853304,21.078969015629283,57154,10145,84.92548180507883,15.074518194921172,45162,8599,84.00513383307602,15.994866166923979,27894,2481,6815,4026,18379,31701,46.80594009564561,4.1631009312861815,11.435523114355231,6.755600302038761,30.839835556674217,53.1940599043544,44,566,1346,1107,2.4,137,57154,23,10,10,135,12,129,24,52,2509,77,56,374,21,59,1041,43,44,13,158,134,67,59,19,121,45,13,307,11,240,1037,64,65,93,302,64,318,26,307,27,27,115,131,0,12,229,48,65,48,1209,5642,22890,3845,16907,4521,2858,347,5740
LGA12000,883,2418,1014,20.463499420625723,56.03707995365006,23.49942062572422,3645,164,95.6944079810974,4.305592018902599,2348,613,79.29753461668355,20.702465383316447,1842,136,250,258,935,1579,53.84390529085062,3.975445776088863,7.307804735457468,7.541654486992108,27.331189710610932,46.15609470914937,44,594,1418,1169,2.5,0,3645,0,0,0,7,0,0,0,0,60,0,0,9,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,10,18,3,7,0,0,0,6,3,3,0,0,0,0,0,0,5,0,0,0,12,501,988,197,1076,349,195,7,455
LGA12150,794,2348,783,20.229299363057322,59.82165605095542,19.94904458598726,3160,104,96.81372549019608,3.1862745098039214,1926,597,76.33769322235435,23.662306777645657,1293,109,224,246,1250,1829,41.41575912876361,3.4913516976297245,7.174887892376682,7.879564381806533,40.038436899423445,58.58424087123638,43,519,1218,976,2.4,0,3160,0,0,0,0,0,3,0,0,24,0,0,13,3,0,11,3,0,0,3,3,0,0,0,0,0,0,0,0,3,15,0,3,0,3,5,5,0,3,0,10,0,0,0,0,0,3,0,0,3,658,849,198,809,281,268,28,599
LGA12350,2166,7201,3102,17.371080279092148,57.751223033122145,24.877696687785708,10532,754,93.31915647705121,6.680843522948786,7122,2041,77.72563570882899,22.274364291171015,4884,409,1034,843,3138,5424,47.38067520372526,3.96779200620877,10.031043849437332,8.178114086146682,30.442374854481958,52.61932479627474,47,509,1225,959,2.3,0,10532,0,3,3,9,3,19,12,0,203,7,8,39,3,6,19,5,0,0,18,19,4,5,0,6,8,0,0,0,38,72,6,0,3,28,3,24,5,32,3,6,10,0,0,0,16,10,8,8,82,1169,2886,586,3398,1076,813,39,1122
LGA12380,44366,147598,24116,20.532210292484265,68.30710847834135,11.16068122917438,90056,112879,44.3767708872299,55.6232291127701,132846,26169,83.54306197528535,16.45693802471465,91536,5430,11355,7946,55455,80186,53.30476001910064,3.1620875601262504,6.612431721037491,4.627246363308138,32.29347433642748,46.69523998089936,32,501,1436,1379,3.2,6137,90056,991,463,358,121,426,14131,814,829,1369,1800,71,345,668,1232,14307,833,2417,2921,274,1297,135,4369,10587,975,1383,265,863,4933,100,2695,58,4653,53,4023,326,262,275,290,179,4856,830,655,127,3571,276,4738,52,132,9422,13142,97509,5895,23942,6730,11382,6485,12518
LGA12700,1661,5512,1796,18.51934440851823,61.45612665849035,20.024528932991416,7772,434,94.711186936388,5.288813063611991,5473,1132,82.86146858440576,17.138531415594247,3953,212,705,426,2024,3367,54.002732240437155,2.8961748633879782,9.631147540983607,5.819672131147541,27.650273224043715,45.997267759562845,45,578,1474,1226,2.5,0,7772,0,0,0,3,0,7,3,0,191,0,3,28,0,3,3,3,0,0,10,8,0,3,0,8,0,0,0,0,14,49,0,0,0,12,0,17,0,13,0,0,0,0,0,0,17,0,6,4,29,763,2307,430,2559,620,394,13,680
LGA12730,1580,5307,1976,17.826920907142053,59.87814509759674,22.2949339952612,7262,568,92.74584929757343,7.254150702426565,5015,1256,79.97129644394833,20.028703556051667,3420,247,714,588,2299,3848,47.05558613098514,3.3984589983489264,9.823885525591635,8.090258668134286,31.63181067694001,52.94441386901486,45,595,1399,1080,2.3,0,7262,0,0,0,3,0,6,0,3,118,0,0,17,11,4,33,0,0,0,8,22,4,14,0,6,0,0,0,3,20,70,4,3,3,18,0,24,0,28,0,15,52,0,0,4,7,0,3,3,37,1020,2327,704,1825,664,459,41,966
LGA12750,5312,20542,11379,14.266913759299547,55.171487658797304,30.561598581903148,28881,4969,85.32053175775481,14.6794682422452,23489,4887,82.77769946433607,17.222300535663944,15911,1213,3893,2672,8224,16002,49.85742487387585,3.8009588568921755,12.198790461567386,8.372763450631403,25.770062357033186,50.14257512612414,54,512,1184,939,2.2,0,28881,4,8,0,64,30,40,109,11,1836,19,40,317,43,13,77,26,0,0,75,109,8,9,8,27,60,15,5,11,189,454,22,0,14,104,38,246,12,120,38,19,0,27,7,3,114,39,57,15,475,3383,11487,2050,9331,2715,1742,77,3455
LGA12850,37933,133441,27439,19.079738246492937,67.11885037698741,13.801411376519642,80775,107149,42.98280155807667,57.017198441923334,113040,36990,75.34493101379725,24.65506898620276,77345,6232,13775,8951,54579,83537,48.075608209743784,3.873646523538991,8.562176004773685,5.5637050757698185,33.92486418617372,51.92439179025621,36,439,1263,1222,3.3,307,80775,80,924,7384,63,1673,4048,1938,430,1027,1372,108,498,454,443,747,469,1550,18752,129,3476,58,96,2472,539,981,205,404,75,120,2807,60,325,21,2381,485,200,96,112,867,212,156,1509,787,652,205,30805,25,55,14582,10892,76178,6394,24142,8365,16271,10494,10644
LGA12870,2094,6798,3379,17.06462391003178,55.39890799445848,27.536468095509736,10208,845,92.35501673753733,7.644983262462681,7202,1741,80.53225986805323,19.467740131946773,5356,411,950,821,2653,4835,52.55617701893828,4.032970267883427,9.321950740849768,8.056127956039642,26.032774016288883,47.44382298106172,49,559,1299,1017,2.3,0,10208,4,0,0,0,0,11,4,3,296,3,0,46,3,3,23,10,0,0,12,16,5,14,0,3,8,0,3,0,39,106,3,10,8,48,6,51,0,7,3,5,0,7,0,0,10,6,5,3,48,1227,3002,1267,2692,900,711,26,1219
LGA12900,1947,5554,2086,20.30875143423386,57.93261708563679,21.758631480129342,8216,386,95.51267147175075,4.487328528249244,5392,1332,80.19036287923855,19.80963712076145,3723,301,615,585,2418,3919,48.71761319026433,3.9387594870452762,8.047631510075897,7.655064119340486,31.64093169327401,51.28238680973567,42,571,1326,1069,2.4,0,8216,0,0,0,11,0,14,3,0,92,3,0,12,3,3,21,0,5,0,3,19,3,3,0,4,3,0,0,7,13,55,3,0,0,35,0,15,0,17,0,4,0,7,0,0,4,5,5,0,15,984,2408,489,2276,673,512,24,891
LGA12930,24616,99699,22524,16.76393873562201,67.896812154809,15.339249109568984,73047,66916,52.190221701449666,47.809778298550334,102487,12648,89.01463499370304,10.985365006296956,64949,2895,8286,6361,39732,57274,53.13975274702797,2.368621290591787,6.779411403745613,5.204421426409104,32.50779313222552,46.86024725297202,37,640,1817,1654,2.9,9,73047,859,325,71,142,295,23654,701,1317,1934,737,101,297,2299,3602,2144,1579,161,92,285,1140,302,546,1631,1260,220,121,135,4810,113,2179,64,233,75,2248,217,278,351,414,179,209,590,661,1695,124,341,1141,82,90,4834,6878,78893,3836,15977,4221,5233,1806,7002
LGA12950,791,2446,999,18.673276676109538,57.743153918791315,23.58356940509915,3679,158,95.88219963513161,4.117800364868387,2306,745,75.58177646673222,24.41822353326778,1716,119,258,268,1081,1726,49.85473561882626,3.457292271934922,7.495642068564788,7.78617083091226,31.406159209761764,50.14526438117374,45,537,1199,998,2.4,0,3679,0,0,0,0,0,0,0,0,32,3,0,9,4,3,18,0,0,0,3,0,0,0,3,0,0,0,0,0,7,21,0,0,0,13,0,4,0,3,0,0,0,0,0,0,3,0,0,0,17,403,934,195,1099,373,323,9,387
LGA13010,1514,5036,2282,17.142210144927535,57.01992753623188,25.837862318840582,7219,581,92.55128205128204,7.448717948717949,4864,1382,77.87383925712456,22.126160742875438,3429,291,790,614,2196,3891,46.84426229508197,3.9754098360655736,10.792349726775956,8.387978142076502,30.0,53.15573770491804,47,478,1111,838,2.2,0,7219,0,0,0,3,0,18,0,0,190,3,0,23,3,0,25,5,0,0,11,3,8,6,0,7,5,0,0,10,27,73,0,3,7,23,0,23,6,11,0,0,0,3,0,7,13,4,11,0,63,1035,2096,384,2235,663,610,27,1059
LGA13310,5374,18489,5748,18.148660970585258,62.43963391982709,19.411705109587654,24472,2945,89.25848925848926,10.741510741510742,17520,3670,82.6805096743747,17.319490325625296,11235,913,2278,1655,8160,13006,46.34709789200115,3.7663462728435295,9.397302091497876,6.8272761024710205,33.66197764118642,53.65290210799885,42,625,1505,1196,2.4,6,24472,18,3,18,24,21,77,17,23,690,28,26,101,32,13,145,23,23,11,43,57,7,66,38,29,22,0,6,33,88,314,31,24,15,152,21,102,13,50,8,18,16,46,14,9,63,24,16,26,322,2193,8425,1381,7133,1934,1292,129,3000
LGA13340,2237,6049,2058,21.626063418406805,58.47834493426141,19.895591647331788,8918,614,93.55853965589593,6.441460344104071,6021,1328,81.92951421962171,18.07048578037828,4487,234,726,533,2137,3630,55.27904398176666,2.882838487125785,8.944191203646668,6.566465442897622,26.327460884563266,44.72095601823334,44,600,1439,1168,2.5,0,8918,0,0,0,6,0,5,8,0,196,19,3,49,3,3,9,0,0,0,21,3,9,3,0,5,6,0,0,0,44,89,5,0,5,24,0,10,0,12,0,5,0,9,0,0,17,3,5,3,34,822,2685,718,2356,711,463,17,740
LGA13450,5366,16134,4137,20.93068611772048,62.93248039942271,16.136833482856808,18126,4819,78.99760296360863,21.002397036391372,14296,3486,80.39590597233158,19.604094027668427,10515,666,1206,1335,6559,9766,51.84655588974903,3.2838617425176277,5.946452344558947,6.582515655046596,32.34061436812781,48.15344411025097,37,674,1555,1331,2.7,108,18126,9,0,0,5,12,68,0,18,230,170,13,28,4,20,978,10,12,5,28,1055,4,23,15,85,8,8,12,7,28,432,0,121,11,222,4,35,7,88,3,30,155,36,4,88,34,3,6,43,532,2694,6830,1208,5706,1371,1540,288,2467
LGA13510,2019,6248,2874,18.122251144421504,56.081141728749664,25.79660712682883,9536,615,93.9414835976751,6.058516402324894,6520,1671,79.59956049322427,20.40043950677573,4681,264,822,761,2594,4441,51.315500986625736,2.894102170576628,9.01118175838632,8.342468756851568,28.436746327559746,48.684499013374264,47,539,1280,964,2.3,0,9536,0,0,0,10,0,15,0,0,187,3,0,28,3,7,31,5,0,0,10,4,0,0,5,7,6,3,0,3,16,76,3,0,8,39,4,24,3,7,0,5,17,3,0,0,16,11,0,0,46,990,2800,560,2975,854,672,29,914
LGA13550,2527,7367,2311,20.704629250307253,60.360507988529285,18.93486276116346,10502,583,94.74064050518719,5.25935949481281,6947,1643,80.8731082654249,19.12689173457509,4664,381,744,763,3133,5021,48.15694372741353,3.9339184305627257,7.681982447083119,7.878162106350025,32.348993288590606,51.84305627258647,40,618,1586,1253,2.5,3,10502,0,0,0,8,4,32,0,4,120,0,6,22,3,7,18,4,0,0,9,9,3,10,0,0,7,0,0,0,10,93,3,5,14,43,5,17,0,40,0,4,0,3,0,4,20,10,7,0,37,1120,3058,581,3099,842,651,42,1055
LGA13660,972,2913,1369,18.50019033117625,55.44347164065474,26.056338028169012,4433,212,95.43595263724434,4.564047362755652,2852,825,77.56323089475116,22.436769105248842,2261,154,384,380,1106,2024,52.765460910151695,3.593932322053676,8.96149358226371,8.868144690781797,25.810968494749126,47.23453908984831,48,489,1178,910,2.3,0,4433,0,0,0,0,0,3,0,3,76,6,0,18,0,0,5,0,0,0,3,0,0,4,0,0,0,0,0,0,9,25,4,0,0,12,0,8,0,4,0,0,0,4,0,0,13,0,0,3,14,607,1271,233,1261,383,388,9,600
LGA13800,12870,42499,9221,19.925685090571296,65.79811116271868,14.276203746710017,52539,7938,86.87434892603801,13.125651073962002,41119,6744,85.90978417566805,14.090215824331947,25506,1701,4723,2409,17375,26208,49.321266968325794,3.289244691959624,9.132923386317051,4.658313029353754,33.59825192404378,50.678733031674206,38,728,1916,1668,2.8,0,52539,0,8,4,57,38,239,74,28,2351,74,41,298,88,39,135,46,33,12,181,191,21,42,79,105,475,13,8,0,245,833,63,26,34,261,43,250,35,248,49,30,14,87,70,12,142,60,68,24,652,4109,20236,3164,16371,3642,2061,181,3783
LGA13850,521,1782,651,17.637102234258634,60.32498307379824,22.03791469194313,2350,188,92.5925925925926,7.4074074074074066,1617,455,78.04054054054053,21.95945945945946,1212,90,189,170,766,1215,49.93819530284301,3.7082818294190356,7.787391841779975,7.0045323444581795,31.56159868149979,50.06180469715699,46,587,1344,1075,2.3,0,2350,0,0,0,0,0,3,0,0,25,12,0,6,7,0,14,0,0,0,0,19,0,0,0,0,0,0,0,3,4,37,0,6,0,5,0,5,0,7,0,0,0,3,0,0,3,0,0,0,18,407,760,206,600,205,201,8,354
LGA13910,3613,10722,4166,19.528674125722933,57.953624128425496,22.517701745851575,15814,1145,93.24842266643081,6.751577333569196,10589,2688,79.75446260450403,20.245537395495973,7340,604,1335,1112,4499,7550,49.29482874412358,4.056413700470114,8.965748824714574,7.468099395567494,30.214909335124247,50.70517125587642,44,538,1261,976,2.4,3,15814,5,12,3,11,3,32,9,3,297,9,7,31,6,3,35,13,3,3,15,26,0,3,66,9,9,0,3,3,54,152,7,0,9,50,3,36,4,19,11,9,11,6,0,4,32,0,9,3,96,1532,4645,967,4604,1364,1028,83,1537
LGA14000,27874,91723,23072,19.53753092823248,64.29077094533501,16.171698126432513,84949,52795,61.67165175978627,38.32834824021373,101358,7509,93.10259307228085,6.897406927719143,67497,2263,7197,5789,32046,47295,58.79939368597115,1.9713917346156529,6.26960066903617,5.043034357794968,27.91657955258206,41.20060631402885,40,793,2372,2121,2.9,174,84949,135,40,46,341,168,8745,122,218,6015,341,177,589,119,2350,5398,651,1601,60,403,705,527,2671,588,1774,93,129,138,905,383,2146,105,453,138,1812,363,606,714,2018,85,1659,611,415,23,93,786,589,173,241,4164,4926,78375,3705,15116,2880,1945,655,5851
LGA14100,2655,8325,3027,18.954808310130648,59.43456843007068,21.610623259798672,9508,3684,72.0739842328684,27.926015767131595,9570,827,92.04578243724151,7.954217562758488,5989,214,844,789,3511,5358,52.78047060897153,1.8859610469727683,7.438089362827179,6.953379747951001,30.94209923327752,47.219529391028466,43,977,3301,2467,2.7,21,9508,3,9,6,39,14,455,19,51,559,22,18,68,87,132,110,37,56,7,83,174,42,80,46,84,12,6,10,5,37,210,9,4,12,64,49,60,57,145,11,32,29,23,6,27,119,64,23,18,436,813,7552,310,1130,263,226,52,928
LGA14170,27908,131929,22199,15.331033421960491,72.47412599705552,12.194840580983982,105719,62406,62.88118959107807,37.11881040892193,128186,12243,91.28171531521268,8.718284684787331,59652,3743,12902,5880,71944,94469,38.70465413538713,2.4286112859376723,8.37134459288481,3.8151841734740883,46.680205812316295,61.29534586461287,36,957,2498,2048,2.4,23,105719,442,115,122,633,380,6373,318,356,8007,508,566,801,2694,951,2337,910,314,99,1350,3222,596,809,1066,1010,252,153,150,2341,333,4160,187,132,165,2068,489,874,441,898,180,343,384,1484,331,443,1498,3204,234,113,7545,13919,106941,4546,13955,2992,6025,2006,13622
LGA14200,3324,9660,3494,20.172351013472507,58.62361937128292,21.20402961524457,13875,1044,93.0022119445003,6.997788055499699,9224,2408,79.29848693259972,20.701513067400278,6250,528,1128,969,4282,6907,47.50323021965494,4.013072888956449,8.573382990043322,7.364900813255301,32.545413088089994,52.49676978034506,42,509,1181,950,2.4,0,13875,0,0,0,9,3,7,3,0,206,13,9,38,0,3,28,6,0,0,14,24,11,21,0,8,3,0,0,0,24,94,3,0,12,176,5,33,0,38,0,0,10,15,0,0,108,18,9,6,98,1566,4077,743,4073,1235,957,42,1479
LGA14300,1120,4155,1018,17.797552836484982,66.0257428889242,16.176704274590815,5191,469,91.71378091872792,8.286219081272085,3081,706,81.35727488777397,18.642725112226035,2410,202,411,289,1856,2758,46.63312693498452,3.9086687306501546,7.9527863777089784,5.592105263157895,35.91331269349845,53.366873065015476,40,600,1410,1139,2.5,4,5191,0,0,6,4,0,28,0,0,81,3,0,10,3,11,17,3,0,0,3,3,0,15,7,3,3,0,3,3,5,66,4,0,5,15,0,11,5,7,0,4,60,3,0,3,8,11,0,3,32,630,1329,285,1381,395,253,14,1372
LGA14350,4967,16998,6906,17.20411485573759,58.87568840705206,23.92019673721035,23939,2052,92.1049594090262,7.895040590973798,15773,4666,77.1710944762464,22.82890552375361,10488,1083,2682,1899,7762,13426,43.8571548047169,4.528727941791419,11.215187756126118,7.940955089069164,32.457974408296394,56.1428451952831,47,474,1107,894,2.4,0,23939,3,0,3,24,13,50,3,3,631,34,5,110,9,6,45,8,4,3,25,13,12,10,5,16,23,3,3,6,59,262,18,8,18,121,11,80,5,37,6,8,22,34,0,3,49,12,20,10,184,2894,6290,1387,7546,2561,1773,79,3381
LGA14400,3611,12809,5048,16.820383827091483,59.66554872368176,23.514067449226754,17036,2962,85.18851885188519,14.81148114811481,14580,1850,88.74010955569081,11.25989044430919,10228,444,1511,1150,4528,7633,57.26443088292928,2.4858630535804265,8.459772689099154,6.438609260399754,25.35132411399138,42.73556911707072,47,683,1820,1509,2.5,0,17036,0,3,3,48,10,59,17,17,1112,15,14,106,24,20,31,16,10,0,84,93,12,11,3,18,29,4,3,0,65,317,43,0,11,29,13,141,11,101,5,10,0,41,17,4,91,5,35,17,236,1471,8556,942,4625,1028,542,36,1397
LGA14500,23863,72736,21461,20.212603760799595,61.609351177367444,18.178045061832968,67679,45965,59.553518003590156,40.44648199640984,84771,4716,94.72996077642563,5.270039223574374,57718,1466,4600,5199,25201,36466,61.28217106939607,1.5565276480081542,4.884056739998301,5.520045867663297,26.757198674934173,38.71782893060393,41,942,3046,2640,2.9,26,67679,26,19,26,400,120,8390,81,148,6739,167,210,592,104,2956,2004,526,1135,32,407,377,786,2481,143,1429,37,60,72,92,372,2237,98,144,284,574,243,559,756,3956,45,577,894,273,25,89,1048,421,164,280,3343,4415,71546,2482,6697,1336,851,333,4632
LGA14550,1459,5424,2050,16.33269898130527,60.718683532967646,22.94861748572708,7144,850,89.36702526895172,10.632974731048286,5312,1271,80.69269330092663,19.307306699073372,3401,312,940,540,2294,4086,45.42540403365834,4.167223186857219,12.555095498864699,7.212501669560571,30.639775611059168,54.574595966341654,50,460,1076,832,2.2,0,7144,3,0,0,19,0,7,0,3,256,7,12,55,3,3,12,5,0,0,10,7,12,3,0,5,4,0,0,0,21,136,0,0,12,29,5,33,3,18,3,5,3,15,0,0,24,0,3,14,75,953,2218,479,2429,632,532,24,882
LGA14600,1356,3582,1270,21.84278350515464,57.699742268041234,20.457474226804123,5163,236,95.62882015187998,4.371179848120022,3271,869,79.00966183574879,20.990338164251206,2319,146,362,387,1630,2525,47.87365813377374,3.014037985136251,7.473162675474815,7.9892650701899255,33.64987613542527,52.126341866226255,40,556,1279,1034,2.4,0,5163,0,0,0,3,0,11,0,7,42,0,0,9,0,0,20,0,0,0,3,0,0,0,6,0,0,0,0,0,3,35,0,3,3,35,0,3,0,16,0,4,0,8,0,0,3,0,0,0,23,802,1482,293,1402,431,368,32,683
LGA14650,36112,120658,40602,18.296414891676633,61.13227813468982,20.571306973633543,168252,19694,89.5214582912113,10.478541708788693,125647,24614,83.61916931206368,16.380830687936324,80629,5308,15397,10949,48981,80635,49.998139696398454,3.2914971723385253,9.547698184343686,6.789488044448853,30.373176902470483,50.00186030360155,42,609,1610,1313,2.5,3,168252,65,45,59,264,93,522,128,69,5155,150,81,883,138,116,668,155,58,27,321,415,82,182,43,306,115,42,43,27,527,2266,114,83,154,695,200,874,80,674,110,156,20,274,265,23,504,138,243,115,1923,9424,61387,9451,50664,14501,7093,444,10749
LGA14700,6672,24449,4938,18.503008957541805,67.80276768629192,13.694223356166283,21270,13067,61.94484084224015,38.055159157759846,26446,1241,95.51775201358038,4.482247986419619,15273,641,2089,1160,10214,14104,51.98965176839023,2.181979099295367,7.11100520815604,3.948667324777887,34.76869659938047,48.01034823160976,36,1149,2971,2376,2.5,11,21270,83,11,12,136,59,1476,70,86,1737,71,95,196,68,514,856,158,398,7,238,192,359,312,61,484,19,21,14,309,84,757,34,63,40,404,132,171,174,440,32,143,130,169,32,56,361,128,53,61,1528,1712,22676,740,2144,375,299,102,1666
LGA14750,2297,6848,2021,20.571377395665415,61.329034569228014,18.099588035106574,9091,903,90.96457874724835,9.03542125275165,6184,1596,79.48586118251927,20.51413881748072,4284,299,632,631,3022,4584,48.3085250338295,3.3716734325665314,7.126747857465043,7.115471357690573,34.07758231844835,51.6914749661705,40,607,1456,1190,2.5,33,9091,3,0,0,10,3,19,8,3,92,18,0,16,4,3,88,4,3,0,0,185,5,3,0,14,0,0,0,0,6,108,0,6,6,92,4,20,0,30,3,15,6,18,0,0,7,4,3,6,57,1172,2403,543,2861,709,599,41,1070
LGA14850,7709,27563,7847,17.878429462649876,63.923096546765926,18.198473990584198,35360,4048,89.72797401542833,10.27202598457166,27155,4709,85.22156665829776,14.778433341702236,14546,1396,4080,2016,13383,20875,41.0660342734536,3.9411648457129953,11.51859066655374,5.691538917591259,37.782671296688406,58.9339657265464,43,550,1351,1067,2.4,0,35360,11,0,3,85,9,64,7,16,1052,29,55,220,5,19,108,47,12,4,51,172,42,28,3,49,7,5,3,3,116,528,25,26,49,160,20,98,15,112,11,15,17,47,3,0,150,52,24,34,453,3727,14170,2079,9936,2357,1685,107,3494
LGA14870,3591,12850,4649,17.027027027027028,60.92935040303461,22.04362256993836,16782,1966,89.51354811179858,10.486451888201408,12057,2855,80.85434549356223,19.14565450643777,7938,677,1879,1224,5784,9564,45.35481659238944,3.8681293566449546,10.735915895326247,6.993486458690436,33.04765169694892,54.64518340761055,45,510,1328,984,2.3,4,16782,7,3,5,13,14,53,15,4,542,26,15,78,13,16,63,14,12,19,31,52,3,6,19,25,12,8,0,0,57,208,11,3,12,94,19,103,6,27,8,15,4,23,6,3,42,40,25,0,168,2342,4888,1032,5748,1548,1065,49,2540
LGA14900,46302,136703,21325,22.660402290412566,66.90304898937993,10.436548720207508,105550,83346,55.877308148399116,44.122691851600884,121723,22797,84.225712704124,15.774287295876002,81921,5983,11333,7082,51704,76102,51.84118767521184,3.7861577112192526,7.171740822538491,4.48162609240427,32.71928769862615,48.158812324788165,33,584,1663,1550,3.2,255,105550,702,1451,1652,129,1276,2589,1769,1413,1932,6541,107,518,937,343,5265,861,932,9885,200,2682,87,196,4169,588,685,427,150,438,151,3414,92,1310,61,3945,692,358,164,493,997,544,132,679,1167,670,282,6651,56,393,12938,15427,81128,6784,27652,7101,9490,4124,13244
LGA14920,1442,4545,1710,18.734571911134207,59.048980122125506,22.216447966740287,6505,342,95.00511172776397,4.9948882722360155,4296,1145,78.95607425105679,21.04392574894321,3005,262,611,481,1895,3249,48.04924848097218,4.189318835944995,9.76974736168852,7.69107771026543,30.30060761112888,51.950751519027826,45,533,1287,1032,2.3,0,6505,0,0,0,6,0,7,4,0,122,0,0,11,0,0,13,0,0,0,3,9,0,6,0,0,0,0,0,3,13,52,10,0,0,10,0,10,3,8,0,0,0,0,0,0,9,4,4,4,22,842,1765,389,2005,597,440,25,774
LGA14950,638,1774,704,20.474967907573813,56.93196405648266,22.593068035943517,2643,147,94.73118279569891,5.268817204301075,1778,408,81.33577310155535,18.664226898444646,1394,88,193,195,616,1092,56.074014481094125,3.5398230088495577,7.763475462590506,7.843925985518905,24.778761061946902,43.925985518905875,46,585,1408,1114,2.5,0,2643,0,0,0,0,0,6,0,0,47,0,0,3,0,3,0,0,0,0,0,0,3,0,0,7,0,0,0,0,8,28,0,0,0,0,0,10,0,6,5,0,0,0,0,0,4,0,0,0,9,332,752,163,810,211,163,4,288
LGA15050,16903,49328,11087,21.861662226131042,63.79885666985695,14.339481104012004,66989,6151,91.59010117582717,8.409898824172819,47432,8812,84.33255102766518,15.667448972334826,29543,2210,5460,3100,20095,30865,48.90577406965965,3.6584558336644153,9.038537941994438,5.131770626407098,33.2654615282744,51.09422593034035,36,644,1664,1415,2.7,6,66989,39,9,3,83,25,162,22,30,1412,77,20,270,28,42,407,46,6,14,82,66,12,41,10,88,31,3,3,9,118,782,43,58,22,359,67,261,18,309,18,38,30,76,5,6,136,51,62,116,544,4166,22310,3998,19427,5159,2529,153,4077
LGA15240,13938,49177,27197,15.43316502790327,54.45234298875011,30.11449198334662,74289,8449,89.7882472382702,10.211752761729798,53931,14433,78.88801123398281,21.111988766017202,37812,3130,8908,6601,19914,38553,49.51483009231978,4.098736332089308,11.665029791134682,8.644012309304,26.07739147515223,50.485169907680216,52,476,1108,887,2.2,3,74289,18,8,10,94,34,122,56,68,3108,41,50,377,32,32,205,52,19,17,131,132,23,43,21,59,100,25,11,19,347,946,75,11,52,304,64,333,19,210,28,32,8,85,7,4,185,26,71,46,698,7568,22116,4473,25665,8368,4970,207,7818
LGA15270,4904,14437,4735,20.368832031898986,59.96427978069446,19.666888187406546,19525,1811,91.51199850018747,8.488001499812524,13771,2996,82.13156796087553,17.86843203912447,9272,799,1857,1300,5953,9909,48.339502632813726,4.16558052239195,9.681455607111204,6.777540274229707,31.035920963453417,51.660497367186274,42,547,1433,1131,2.4,0,19525,7,4,3,21,8,36,14,5,562,18,8,77,19,3,50,5,0,0,30,32,8,13,6,17,20,0,0,3,65,231,3,0,3,78,16,57,3,71,10,4,0,21,0,3,50,23,16,18,177,2740,6250,1211,5860,1577,1140,59,2360
LGA15300,2882,8235,2031,21.91968360206876,62.63310009126863,15.44721630666261,10675,688,93.94526093461234,6.054739065387662,6988,1670,80.7114807114807,19.288519288519286,4478,411,707,603,4075,5796,43.58575043799883,4.000389332295113,6.881448316137824,5.869184348841737,39.6632275647265,56.414249562001174,38,669,1480,1240,2.5,0,10675,0,3,3,7,0,7,6,0,80,45,0,11,3,13,54,4,0,0,10,8,3,3,8,5,0,9,0,0,11,90,17,0,6,50,3,15,0,38,8,9,4,11,0,0,15,3,3,10,84,1799,3353,673,2732,856,666,55,1576
