LGA_CODE_2016,Tot_P_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,P_Tot_Married,P_Tot_Never_Married,P_Tot_Divorced,Buddhism_P,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_P,Christianity_Brethren_P,Christianity_Catholic_P,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_P,Christianity_Christian_nfd_P,Christianity_Othr_Christian_P,Christianity_Tot_P,Hinduism_P,Islam_P,Judaism_P,P_1_149_Tot,P_150_299_Tot,P_300_399_Tot,P_400_499_Tot,P_500_649_Tot,P_650_799_Tot,P_800_999_Tot,P_1000_1249_Tot,P_1250_1499_Tot,P_1500_1749_Tot,P_1750_1999_Tot,P_2000_2999_Tot,P_3000_more_Tot
LGA14870,21090,1100,2256,2345,2865,3091,2751,1382,7938,5784,1879,146,4347,0,295,145,5073,6,72,104,34,28,8,88,109,878,75,53,1300,357,14,12978,62,57,14,636,1429,2023,2032,1383,1231,1223,1133,718,527,394,652,322
LGA14900,204326,14554,29760,29691,27132,20680,12609,6433,81921,51704,11333,11268,15046,1908,2501,14,58522,143,11995,826,887,247,2171,899,3031,2059,199,541,1794,6694,291,109767,10090,24550,32,6703,12872,14161,11863,10561,12007,13700,13811,9012,6862,4574,5260,1979
LGA14920,7687,335,773,820,1005,1188,976,543,3005,1895,611,17,2782,0,40,0,1711,0,3,37,7,14,0,9,71,225,14,11,349,122,17,5414,6,13,0,203,498,759,684,547,512,518,432,242,205,133,158,105
LGA14950,3119,115,253,304,429,484,372,231,1394,616,193,10,523,0,21,0,912,0,0,0,0,131,0,3,23,230,4,6,317,41,0,2218,0,0,0,81,194,285,244,227,198,229,196,105,92,51,78,39
LGA15050,77305,4808,10574,10183,9977,8843,6554,3253,29543,20095,5460,483,18660,0,1427,169,20590,90,215,199,213,133,17,413,666,2369,384,208,3788,1684,36,51272,356,287,29,2690,4527,5894,5446,4853,4896,5314,4996,3355,2846,2087,3137,1266
LGA15240,90303,3453,6705,8264,11361,14612,15411,8365,37812,19914,8908,665,25839,3,1921,17,17224,158,208,530,214,175,33,366,543,3484,470,270,4886,1945,59,58344,154,104,47,3031,7214,11337,9975,7653,6508,5545,4484,2547,1781,1294,1393,816
LGA15270,24076,1105,2677,2756,3410,3164,2823,1425,9272,5953,1857,137,6591,0,249,0,6050,4,69,106,31,45,3,53,235,907,55,28,825,370,9,15615,40,14,3,768,1563,2107,2001,1517,1440,1327,1207,731,601,525,997,476
LGA15300,13159,769,1640,1642,1823,1606,1224,631,4478,4075,707,47,3650,0,144,5,3657,6,31,48,4,74,0,20,143,544,97,63,386,235,13,9118,66,23,0,329,808,876,765,742,826,889,859,549,427,259,309,256
LGA15350,28475,1280,3407,4088,4273,3390,3000,1542,12196,7483,2070,406,5712,0,111,4,6801,5,500,23,12,122,46,87,160,727,10,11,540,365,19,15264,288,106,234,829,807,803,910,907,1048,1308,1600,1376,1458,1075,2446,4556
LGA15520,11680,434,1089,1112,1496,1822,1784,994,5340,2408,847,53,2250,0,118,0,2779,37,20,15,8,64,3,24,34,440,27,9,1086,181,4,7092,19,13,0,378,743,1134,1032,948,808,849,753,432,271,221,228,144
LGA15560,3836,174,436,448,542,535,373,220,1511,1000,226,9,859,0,13,0,1113,8,4,0,0,12,0,11,21,169,7,15,329,49,0,2596,18,11,0,86,184,296,254,266,271,301,308,150,119,70,68,53
LGA15650,16086,975,2272,2077,2267,1801,1265,617,5619,4524,1082,79,4813,0,199,0,3946,4,24,66,20,16,7,38,71,442,27,45,499,279,17,10508,53,43,12,524,917,1054,1001,955,910,901,813,594,514,430,959,317
LGA15700,19212,758,1449,1740,2449,3321,3015,1582,7201,4785,2037,191,4168,0,140,0,3716,9,33,211,30,42,0,44,159,929,183,157,772,432,19,11046,24,17,17,626,1569,2445,2245,1512,1344,1144,917,497,360,254,257,135
LGA15750,13084,648,1491,1529,1759,1785,1308,742,5153,3304,767,49,4209,0,56,0,3067,3,11,16,25,28,0,21,171,595,53,30,402,241,5,8929,31,24,0,373,781,886,954,850,841,858,814,533,418,301,364,200
LGA15800,5853,298,547,643,734,853,706,390,2270,1478,354,19,1401,0,28,0,1535,3,7,35,12,26,0,12,91,202,12,6,489,89,3,3956,5,14,0,130,342,500,513,454,428,382,359,205,175,84,85,50
LGA15850,6444,326,659,667,790,891,767,425,2425,1597,415,15,1702,0,76,0,1800,0,3,3,6,12,0,6,40,251,10,92,557,102,0,4655,7,11,0,175,362,524,501,449,451,404,387,233,183,140,127,68
LGA15900,155411,13701,23898,20042,19751,18200,12906,7666,52535,52634,12317,1878,26349,0,2661,56,34569,101,2632,292,218,253,98,794,1562,3855,591,437,6516,3986,137,85110,1066,1877,94,5216,9924,11970,11906,10202,9827,10538,10854,7581,6496,4561,6831,3645
LGA15950,67658,3440,16352,12322,8222,7184,5927,2680,24796,25097,5722,1855,8763,11,378,0,14448,41,819,76,36,207,100,207,382,1245,16,55,1285,965,56,29078,1551,471,648,1360,1644,1835,2239,2455,2646,3468,4935,4500,4635,3770,8049,8363
LGA15990,252878,12554,29575,38197,37397,28419,22440,13078,106938,63873,16897,3701,45097,12,2086,5,61300,90,3636,636,301,881,1093,971,2715,5543,224,193,6858,4772,148,136566,1651,1095,820,8488,9630,10960,12437,13239,13552,15653,17628,13344,12240,8856,16834,18327
LGA16100,5301,318,487,560,757,725,768,298,2152,1386,402,25,990,0,38,0,1691,0,30,3,7,27,0,10,25,139,0,41,241,89,7,3342,3,16,0,163,330,409,384,325,334,377,347,227,180,122,124,56
LGA16150,40344,2312,5362,5109,4991,4646,3626,2208,14729,11019,2929,235,8276,0,471,256,12060,42,166,98,40,88,24,414,459,1040,101,90,2581,1010,18,27237,271,148,12,1239,2186,2922,2871,2553,2652,2688,2699,1778,1531,1181,1557,672
LGA16200,14608,819,1539,1563,1899,1947,1511,951,5519,3805,1008,57,3708,0,399,56,3990,0,8,13,11,83,25,30,224,647,41,38,1012,292,7,10587,32,30,0,505,961,1251,1162,988,912,890,809,562,418,335,399,147
LGA16260,226149,14861,45775,35846,26638,22372,15054,8595,102178,58078,12182,8655,18713,68,4361,475,47124,340,3715,368,523,333,1128,1403,2566,7786,262,393,5584,5092,162,100380,25605,9660,181,7518,11053,12136,11711,11165,11933,14402,16430,11989,10609,7932,12176,4954
LGA16350,196066,14119,30298,27454,24736,22221,14463,6132,73222,55852,13196,2117,36105,155,1936,381,62884,245,3242,578,866,513,972,975,2901,4391,408,485,3936,4546,186,125696,3476,4208,84,5860,9478,11929,11673,10957,12400,15113,16142,10781,8465,5619,6531,2176
LGA16380,78539,3090,6634,8102,10149,11262,11782,7001,33055,17043,7507,544,19327,5,913,3,18106,60,210,344,112,231,25,303,832,2863,337,525,3757,2035,47,50026,205,77,56,2532,5043,8448,7631,6383,5687,5263,4583,2756,2156,1565,1779,983
LGA16400,69556,3531,6687,7841,9249,9673,9484,4798,28967,16181,6055,510,17328,5,1496,20,15059,71,315,214,119,178,14,299,928,2294,271,153,3403,1533,32,43747,103,101,34,2350,4324,6376,5986,5136,4624,4457,4412,2752,2334,1484,2028,919
LGA16490,56027,3237,7666,7892,8956,6973,4267,1867,22650,15205,4021,477,9171,0,441,161,15078,27,1442,121,83,315,19,203,425,1172,111,72,1460,1315,35,31666,679,641,39,1663,2123,2561,2675,2581,3120,3831,4357,3570,3245,2188,4018,1787
LGA16550,140660,14983,26573,20992,17002,13097,9758,5967,46039,57826,8165,3846,12465,101,774,4,37223,30,7635,171,105,294,322,444,994,2173,33,67,1278,1926,52,66090,1388,2318,5051,4181,6075,6765,7143,6777,6435,7817,9651,7645,7173,5420,9286,7844
LGA16610,22807,1116,1984,2470,2939,3304,2808,1676,8242,6002,2055,112,5076,0,298,8,5772,3,28,113,10,47,0,33,271,1372,97,63,1148,463,131,14932,28,17,3,650,1627,2619,2282,1767,1773,1604,1234,606,407,276,249,137
LGA16650,109404,8086,21905,15753,13115,10903,8389,5545,45407,31883,7040,4404,6485,35,719,14,22906,102,16249,223,152,141,1534,450,765,1246,206,119,1133,3211,66,55751,5532,10597,174,3159,5630,7477,7408,6578,6974,8244,8270,5448,4458,2959,4392,1981
LGA16700,116302,9595,21178,17161,14453,12214,8314,5306,49638,34928,6117,4739,10059,22,2099,99,29370,89,2857,201,114,232,1725,585,1201,3921,90,197,2358,2880,78,58184,4471,2740,370,4063,5879,6282,6286,5953,6081,7161,8608,6211,5585,4234,7075,4267
LGA16900,68460,4276,8009,8611,9242,8509,6531,3579,27394,17455,4948,520,14084,0,573,7,19141,72,2421,444,111,385,54,149,678,1658,192,75,2300,2011,39,44396,139,642,12,2380,4107,6248,5314,4665,4488,4447,4347,2796,2360,1738,2271,726
LGA16950,99650,4622,9309,10088,12305,15353,14975,8210,41214,23603,9017,911,24033,0,1557,9,20198,140,615,532,149,305,18,283,870,3428,288,104,3622,2174,67,58394,216,181,87,3302,7094,11007,9728,7970,6972,6150,5621,3337,2652,1858,2086,1073
LGA17000,22987,1472,2904,3062,3336,2749,1741,839,9169,6077,1445,132,6745,0,311,133,5680,3,25,50,24,40,12,107,143,530,33,53,1055,403,60,15419,40,55,9,810,1208,1454,1375,1290,1360,1256,1240,876,818,720,1563,656
LGA17040,20218,1078,2236,2460,3039,2896,2274,1144,7900,5666,1592,184,4115,0,340,0,4774,7,138,66,14,152,5,29,107,534,44,29,554,323,5,11251,14,65,14,624,1071,1484,1463,1511,1530,1593,1420,932,717,491,623,312
LGA17080,14395,658,1442,1627,1933,2161,1781,987,5884,3566,1040,66,4218,0,150,0,3763,0,20,71,3,58,7,27,122,501,29,67,451,254,9,9762,24,18,6,442,871,1259,1171,1026,935,875,926,563,489,295,378,147
LGA17100,40312,3854,9302,5278,4676,3912,2355,1521,17361,12899,1719,2280,1559,16,382,19,9258,22,1287,68,15,32,287,164,289,1375,18,96,774,797,49,16516,6598,1968,36,1259,1977,2287,2122,2161,2285,2627,3024,2100,1795,1184,1811,1274
LGA17150,218464,12714,26241,30160,30298,27277,19990,11056,95018,53809,13780,2361,45165,6,3924,166,63885,356,9226,317,287,562,857,855,1918,5032,548,140,6956,4276,208,144686,1211,1528,279,7738,9372,11377,12403,12331,12674,14360,16372,12301,11630,8459,13642,8578
LGA17200,208374,28589,68867,33856,21469,16072,10462,4860,49928,122883,13725,14672,12093,21,1169,3,32089,27,4053,160,136,409,169,628,1550,2305,66,152,2018,3287,112,60441,2878,2863,1990,4244,8241,10390,10710,9727,9644,12275,15209,12427,12210,9090,17782,14145
LGA17310,59663,3195,7190,6927,7626,7694,6161,3566,22636,15473,4368,304,17909,0,651,157,14586,26,87,241,61,92,19,140,716,2480,244,140,2614,1098,35,41281,230,161,8,1794,3307,4804,4620,4094,4399,4714,4103,2315,1795,1269,1566,653
LGA17350,6110,240,568,591,820,857,783,470,2582,1358,416,15,1658,0,128,0,1747,0,16,22,0,322,5,8,39,348,23,17,365,71,0,4768,3,0,0,164,357,626,603,499,463,435,354,176,159,132,113,67
LGA17400,6628,211,431,664,822,1299,1137,518,2676,1518,708,41,1514,0,58,0,1358,0,12,60,5,27,0,13,48,326,44,30,343,185,14,4039,3,3,0,256,601,802,713,461,454,377,291,158,106,75,100,42
LGA17420,157243,9709,16505,23631,22686,18615,13582,5649,76150,34140,6423,4570,23487,40,2787,458,45378,176,2977,309,511,402,940,928,4055,4096,183,771,4600,3610,160,95866,7066,4044,195,6172,6980,7134,6772,7753,7736,8804,10486,8157,7838,5995,11169,7575
LGA17550,91371,3929,8219,10268,11917,13583,12026,7535,35375,22446,9252,1046,17981,0,848,5,20388,150,292,774,110,305,24,257,1100,3524,208,677,3207,2192,61,52100,616,107,90,3049,5825,9277,9008,7573,6418,6169,5594,3180,2490,1672,1853,1027
LGA17620,14112,650,1668,1756,1855,1849,1435,833,5625,3468,974,75,4950,0,110,0,3657,3,9,52,5,17,0,21,16,393,38,17,626,157,4,10069,38,43,3,424,750,1071,1099,869,939,936,819,462,413,312,660,270
LGA17640,7695,297,631,777,1189,1212,1072,559,3456,1637,586,29,2203,0,51,0,2389,0,31,3,12,24,0,12,19,189,20,17,427,75,5,5476,3,15,4,221,480,613,624,571,516,526,498,299,277,172,232,128
LGA17650,6048,237,470,683,892,985,787,337,2597,1341,492,34,1761,0,66,0,1239,8,7,57,6,15,0,12,22,291,41,9,279,92,13,3917,0,10,7,194,421,604,516,466,418,433,364,206,184,127,127,53
LGA17750,62385,4960,8609,7532,7551,7210,5124,2979,23143,18156,3956,359,12136,0,801,189,19110,85,165,163,73,703,160,248,611,3085,145,147,2814,1147,23,41818,432,552,18,2059,3408,4017,4165,4320,4550,4976,4624,3091,2327,1734,1935,901
LGA17850,3092,135,276,313,415,464,469,233,1433,655,185,4,1054,0,12,0,597,0,0,45,0,5,0,4,4,304,3,10,37,27,0,2103,3,0,0,111,193,270,240,235,208,198,198,105,88,62,64,46
LGA17900,6107,310,725,676,815,926,738,347,1711,2127,536,15,1667,0,30,0,1416,3,61,16,25,24,3,10,7,203,13,20,95,89,0,3693,31,33,0,160,573,620,576,382,337,308,287,161,115,93,99,67
LGA17950,2732,121,292,296,365,375,329,177,1090,691,139,9,755,0,10,0,963,4,0,0,0,3,0,6,11,230,4,3,79,17,0,2086,0,0,0,69,159,211,192,159,177,197,189,112,76,60,54,46
LGA18020,9384,390,749,900,1263,1461,1354,791,3802,2171,785,31,2878,0,41,0,2049,3,19,42,12,20,0,22,30,515,15,63,302,128,13,6149,18,10,0,288,707,977,889,684,597,526,441,214,186,146,171,101
LGA18050,66812,3669,15751,11890,8188,5670,4371,2611,21449,27077,4182,865,5312,5,115,0,13292,16,1528,61,26,138,39,160,172,706,11,29,525,630,25,22796,250,256,10076,1431,1869,2342,2661,2657,3052,3799,4595,3810,3758,2792,5662,6572
LGA18100,3664,114,260,381,479,583,590,309,1643,739,271,9,977,0,10,0,882,0,3,3,6,5,0,5,60,250,35,3,293,38,3,2578,12,0,0,105,238,452,392,259,244,238,216,106,89,54,56,49
LGA18200,6794,324,679,744,947,1045,856,390,2868,1670,464,21,1042,0,33,0,1400,18,19,22,6,81,0,10,31,191,21,55,430,132,4,3499,4,14,0,217,475,616,525,471,427,450,389,235,173,158,130,98
LGA18230,50077,3131,6701,5889,6350,6185,4576,2671,18254,14091,3404,318,11773,3,922,3,14520,42,165,106,26,185,40,107,483,1954,206,129,2599,987,11,34259,453,240,23,1463,2614,3765,3488,3362,3606,3662,3347,2011,1681,1249,1472,611
LGA18250,74302,4472,11319,12373,10050,7522,5430,3022,32687,19782,3752,3228,8529,0,678,6,16013,56,1088,40,27,197,720,295,531,1879,20,37,1533,1371,38,33055,2091,856,734,2433,2809,2971,2954,3001,3188,3772,4394,3534,3480,2742,5698,7130
LGA18350,47882,1896,3972,5071,6470,6643,7096,3861,21034,10549,3996,445,12270,0,508,165,10662,52,357,271,55,135,14,104,344,1479,60,86,1854,1188,103,29698,309,84,118,1701,2424,3661,3611,3448,3245,3337,3189,1966,1724,1289,1777,1280
LGA18400,48519,2902,5706,6573,6769,6014,4005,1808,20654,11678,2805,244,13342,3,515,174,14673,18,567,150,82,224,31,140,316,980,79,84,1454,1024,75,33941,53,215,27,1580,2270,3018,2676,2697,2987,3339,3542,2467,2138,1620,2156,910
LGA18450,203630,15523,26029,25840,26461,24276,18688,11994,77964,59055,14546,2574,33860,19,1821,279,52076,259,8779,778,322,759,230,583,2118,4911,619,273,7019,5880,148,120737,1274,4610,115,7602,13496,17354,16307,13129,12049,12255,12784,8909,7781,5870,8239,3821
LGA18500,54240,2934,9432,7838,7022,5833,5531,2981,20197,18550,3853,644,7463,7,109,0,10371,9,1716,48,8,158,30,98,167,911,15,29,555,534,25,22259,265,200,7050,1155,1320,1425,1545,1857,1897,2496,3349,2970,3025,2412,4934,8360
LGA18710,16142,730,1458,2211,2497,2192,1596,730,7076,3594,1040,79,3515,0,213,0,4244,4,69,18,7,114,0,44,100,361,36,24,678,327,8,9760,15,46,20,544,653,831,798,884,886,1001,1109,859,878,595,1104,565
LGA19399,1056,59,139,168,142,166,104,47,465,284,57,3,207,0,8,0,201,0,3,3,0,13,0,0,0,24,4,41,70,13,0,581,0,0,0,17,42,62,75,73,95,66,92,51,27,20,33,26
LGA19499,12288,1358,2703,1900,1798,1722,1196,282,2338,6445,1548,211,1339,8,79,0,1643,3,83,31,81,32,17,48,75,238,26,46,292,281,9,4328,122,222,24,364,1549,1328,1047,698,681,664,533,277,219,136,210,111
LGA19799,412,9,32,34,50,74,108,42,223,65,42,17,69,0,5,0,120,0,13,0,3,3,0,0,3,15,0,3,18,5,0,249,0,0,4,11,33,46,34,38,47,24,10,14,17,3,6,3
