LGA_CODE,pct_no_pincome,pct_pincome_1_499,pct_pincome_500_999,pct_pincome_1_999,pct_pincome_1000_1499,pct_pincome_1500_1999,pct_pincome_1000_1999,pct_pincome_2000_2999,pct_pincome_3000_more,pct_pincome_ns,pct_no_fincome,pct_fincome_1_499,pct_fincome_500_999,pct_fincome_1_999,pct_fincome_1000_1499,pct_fincome_1500_1999,pct_fincome_1000_1999,pct_fincome_2000_2999,pct_fincome_3000_3999,pct_fincome_4000_more,pct_fincome_ns,pct_no_hincome,pct_hincome_1_499,pct_hincome_500_999,pct_hincome_1_999,pct_hincome_1000_1499,pct_hincome_1500_1999,pct_hincome_1000_1999,pct_hincome_2000_2999,pct_hincome_3000_3999,pct_hincome_4000_more,pct_part_hincome,pct_hincome_ns,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_P,pct_pgrad,pct_grad_cert_dip,pct_bach_deg,pct_adv_dip,pct_cert_iii_iv,pct_cert_i_ii,pct_others
LGA10050,6.403917122940737,30.17921319858173,27.147302153935215,57.32651535251694,14.18992257410936,7.132347620540775,21.322270194650137,3.287585325261101,1.6232904797510794,10.036421524880001,0.6936326085262255,5.681552490063129,19.141142545397866,24.822695035460992,18.26825656612891,13.615462551632765,31.88371911776167,20.302392642818173,7.435118073415945,4.239731899306367,1.8626763307614371,0.008520953624516254,11.607862733034189,16.840502890634852,28.44836562366904,12.765937793820717,8.513207303039422,21.279145096860137,11.305756195437704,4.256603651519711,2.2657990319736405,4.957645745173094,2.1457310490827295,6.8,59.3,55.2,4.264418377321603,3.4335288367546433,19.15526230042359,14.377647442163571,33.94428152492669,6.239817530140111,18.585043988269796
LGA10130,8.85351902511813,32.375860067976454,25.242476995772197,57.618337063748655,11.63475089115477,6.262952830970737,17.897703722125506,3.6806764486446157,1.6372378347011523,10.312525905661941,0.9548611111111112,5.844907407407407,20.35590277777778,26.200810185185187,18.24363425925926,13.469328703703704,31.712962962962962,17.896412037037038,6.944444444444445,4.817708333333333,1.7795138888888888,0.009583809639660561,10.971316408387537,16.571408160517553,27.54272456890509,11.93684946909961,8.618276578948489,20.5551260480481,10.349083991484203,3.8907406298323473,2.48892966761334,5.471354010701738,2.138476927058588,7.7,55.4,51.1,12.040110650069156,3.9488243430152146,22.717842323651453,11.957123098201937,24.080221300138312,5.767634854771784,19.488243430152142
LGA10250,5.892139988525531,32.23752151462995,27.799770510613882,60.03729202524383,12.059667240390132,6.534710269650029,18.59437751004016,3.195639701663798,2.0625358577165804,10.218014916810098,0.5053191489361702,5.0620567375886525,21.72872340425532,26.79078014184397,20.23936170212766,13.156028368794326,33.395390070921984,17.93439716312057,6.090425531914893,4.875886524822695,1.702127659574468,0.0062059350633692275,10.409245691395903,16.76922878825302,27.178474479648923,12.539509925914134,7.865252452653056,20.40476237856719,9.801856302215086,3.6311322179288035,2.645224803606316,4.9207343268417,2.147869724059704,5.9,53.2,50.1,4.923232508963869,3.4062701112439093,21.76151512365542,15.279948515215592,29.327939689252553,6.288498666911832,19.012595384756825
LGA10300,8.74377421140011,25.733259546209187,28.610957387935805,54.34421693414499,12.83895960154953,3.8184836745987827,16.657443276148314,2.8776978417266186,1.549529607083564,15.827338129496402,1.9097222222222223,4.340277777777778,19.444444444444443,23.78472222222222,19.270833333333332,15.972222222222221,35.24305555555556,16.319444444444443,2.6041666666666665,2.951388888888889,3.9930555555555554,0.010678644829120494,8.466639828802677,11.89906138101998,20.365701209822657,10.678644829120495,8.085259656334088,18.76390448545458,8.00898362184037,1.3729686208869207,1.5255206898743563,6.559738966459732,2.974765345254995,5.3,57.8,54.4,2.6184538653366585,1.6209476309226933,11.72069825436409,9.975062344139651,31.17206982543641,5.610972568578553,37.281795511221944
LGA10470,7.452480645841492,28.4935385727626,24.589571346808448,53.083109919571044,13.51929391210049,8.178449859927102,21.697743772027593,4.1329035756243035,1.5031478748079645,12.130614212127602,0.6799369333858889,5.498620417816318,17.836026803310997,23.334647221127316,17.027985810011824,12.85967678360268,29.887662593614504,21.28498226251478,9.184075679936933,4.749704375246354,1.704769412692156,0.007530848736779916,9.672739481396542,14.039653716425416,23.712393197821957,11.506550050417626,8.26926312590574,19.775813176323364,11.540781181039353,5.036866362911243,2.6064560887686334,5.154230239328593,1.8435908920558628,6.0,58.3,54.8,4.664508534432019,3.1636256621542085,18.437316068275457,13.105748479497743,31.92073768883657,6.59211300765156,22.11595055915244
LGA10550,5.870582770572051,36.49908886268625,27.248365312466504,63.74745417515275,11.687569228570407,5.120234394540322,16.80780362311073,2.1509986779576233,1.0969378640082896,10.326222889198556,0.8436944937833037,7.493339253996448,24.07859680284192,31.571936056838364,21.769538188277085,11.689609236234459,33.45914742451154,15.042184724689164,4.262877442273535,2.420071047957371,1.6762877442273534,0.008250357161331998,13.701093125918671,18.315792898157035,32.0168860240757,13.409580506218273,6.754292396077129,20.163872902295402,8.063349065675139,2.480607386507154,1.314556907705565,5.681745965103969,2.1945950049143113,5.4,49.7,47.0,3.8554930411607935,3.5416049748297307,17.453360971276282,13.805152502220906,32.53183298785905,6.911459875629257,21.901095647023986
LGA10600,7.117607719499379,37.20263685869877,27.07557084169294,64.2782077003917,10.55698863093532,5.2450558899398105,15.802044520875132,2.426674309735359,1.0509219451609821,9.324543804337441,0.5807200929152149,6.939605110336817,25.958188153310104,32.897793263646925,21.428571428571427,12.775842044134727,34.20441347270616,13.67595818815331,4.094076655052265,2.4099883855981417,1.5389082462253194,0.007937517892587025,12.742551045420955,17.87358939741471,30.616140442835665,12.685854489045333,7.342204050642997,20.02805853968833,7.668209249802822,2.31038467230658,1.4032397702966346,5.499565968435295,2.1402950031797157,7.2,50.4,46.8,4.8211269768155995,3.5006909258406265,21.572240135114388,14.970059880239521,30.24719791186857,6.510056809458007,18.378627360663288
LGA10650,6.111981763784015,35.9167972645676,26.043595953839578,61.960393218407184,10.671035760079784,4.943724177233224,15.614759937313007,2.1370565607636416,1.2537398489813363,12.92206867075082,1.0818438381937912,7.619943555973659,24.03574788334901,31.655691439322673,20.46095954844779,12.935089369708372,33.39604891815616,15.239887111947318,3.4807149576669802,3.1044214487300095,2.8222013170272815,0.009508604940317243,14.466663230625521,18.179547064463684,32.646210295089205,12.451744564701153,7.471046738820691,19.922791303521844,8.263430483847129,2.3092326283627593,1.4715698121919545,4.890139683591725,3.509128013688507,4.8,49.2,46.8,1.408450704225352,1.7804942864735582,13.127823545043848,12.22428913101249,36.00850385330853,5.713526441668881,29.73691203826734
LGA10750,12.635610670600528,25.876667281332594,24.028059499661932,49.90472678099453,16.1342123056119,8.260341754256562,24.39455405986846,4.292289015919848,1.3372825619275923,7.4355369106890405,1.5658716798662344,5.124670952289494,14.93452939116288,20.059200343452375,15.083660027340617,13.594613220656854,28.67827324799747,23.74453470111735,10.192853027238936,6.2894716030413615,1.5195508004473919,0.0074728486627352675,5.315091832098037,8.405261501922478,13.720353334020514,8.259078133066856,7.241438696593163,15.500516829660018,12.230863332437556,5.600121180638921,3.7674671317037696,4.281648788180494,1.2236507477953218,7.3,62.8,58.2,9.509210776201199,2.0232507664342494,27.337285330584116,15.578963075503948,24.130470170107706,5.621422176401964,15.799397704766815
LGA10800,7.04492723054208,30.078042607044928,24.319763762919216,54.397806369964144,11.558742881248682,6.137945581101033,17.696688462349716,3.2482598607888633,2.256907825353301,15.355410251001897,1.2709030100334449,6.889632107023411,20.13377926421405,27.023411371237458,18.929765886287626,12.575250836120402,31.505016722408026,15.050167224080267,6.688963210702341,4.548494983277592,2.94314381270903,0.009528260800288927,11.211586875006638,14.895847717785024,26.107434592791662,11.878565131026862,7.304999946888178,19.18356507791504,7.81317385623692,3.5572173654411996,2.1597391147321567,5.462869525498985,3.334891280101125,3.6,55.8,53.8,1.4817781337605127,1.4817781337605127,12.935522627152583,10.012014417300762,33.68041649979976,7.529034841810172,32.879455346415696
