stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,transportation
211435,211435,Ryedale Rd Before Marlow Av,-33.80336371,151.0913264,,,0,,bus_stop
211434,211434,Ryedale Rd Opp Ryde Eastwood Leagues Club,-33.80514745,151.0913358,,,0,,bus_stop
212296,212296,Ryedale Rd Opp Second Av,-33.79301886,151.0872828,,,0,,bus_stop
2114163,2114163,Ryedale Rd Opp West Ryde Station,-33.80709666,151.0909754,,,0,,bus_stop
282015,282015,"Rygate Park, Whiteley St",-32.54796296,148.9490726,,,0,,bus_stop
2770313,2770313,Rymill Rd At Law Cres,-33.73944489,150.7896431,,,0,,bus_stop
2770314,2770314,Rymill Rd At Petersen Cres,-33.74028007,150.7891514,,,0,,bus_stop
2770315,2770315,Rymill Rd Before Ellsworth Dr,-33.74241351,150.7871742,,,0,,bus_stop
2770324,2770324,Rymill Rd Opp Bernacci St,-33.74166304,150.7878423,,,0,,bus_stop
2770325,2770325,Rymill Rd Opp Petersen Cres,-33.74034069,150.7889383,,,0,,bus_stop
217489,217489,Rynan After Jardine,-33.95679547,150.8496813,,,0,,bus_stop
217418,217418,Rynan Av After Camden Valley Way,-33.95234998,150.8506378,,,0,,bus_stop
217420,217420,Rynan Av At Antwerp Av,-33.95667937,150.8499356,,,0,,bus_stop
217419,217419,Rynan Av At Hartlepool Rd,-33.95488582,150.8502331,,,0,,bus_stop
217488,217488,Rynan Opp Hartlepool,-33.95494488,150.8500736,,,0,,bus_stop
2113149,2113149,Ryrie St At Morshead St,-33.79331864,151.1312308,,,0,,bus_stop
2233103,2233103,Sabugal Rd At Ridge Rd,-34.05386884,151.0008482,,,0,,bus_stop
2756317,2756317,Sackville Ferry Rd At Manning Rd,-33.48077415,150.8914363,,,0,,bus_stop
275665,275665,Sackville Ferry Rd At Tizzana Rd,-33.50294655,150.8760905,,,0,,bus_stop
2756477,2756477,Sackville Ferry Rd Before Wisemans Ferry Rd,-33.48733232,150.9483953,,,0,,bus_stop
275671,275671,Sackville Rd At Ebenezer Wharf Rd,-33.53885804,150.8697426,,,0,,bus_stop
2756373,2756373,Sackville Rd At Old Sackville Rd,-33.55272918,150.8578446,,,0,,bus_stop
275662,275662,Sackville Rd Opp Ebenezer Wharf Rd,-33.53858076,150.8696764,,,0,,bus_stop
275672,275672,Sackville Rd Opp Old Sackville Rd,-33.55258905,150.858581,,,0,,bus_stop
216668,216668,Sackville St After Delamere St,-33.88009814,150.9408277,,,0,,bus_stop
2148339,2148339,Sackville St After Harold St,-33.76423928,150.9175013,,,0,,bus_stop
26406,26406,Sackville St After Poole St,-36.06901699,146.912903,,,0,,bus_stop
256560,256560,Sackville St At Barff Rd,-34.0079601,150.8580515,,,0,,bus_stop
216667,216667,Sackville St At Cardwell St,-33.88142353,150.9399596,,,0,,bus_stop
216538,216538,Sackville St At Cathcart St,-33.87777335,150.942514,,,0,,bus_stop
216654,216654,Sackville St At Delamere St,-33.88035735,150.9408936,,,0,,bus_stop
256524,256524,Sackville St At Ivanhoe St,-34.00920681,150.8599582,,,0,,bus_stop
2148345,2148345,Sackville St At Mort St,-33.76449493,150.9182467,,,0,,bus_stop
214790,214790,Sackville St At Mountfort St,-33.76475694,150.9216248,,,0,,bus_stop
2148340,2148340,Sackville St At Stephen St,-33.76443565,150.9189776,,,0,,bus_stop
216537,216537,Sackville St At Wolseley St,-33.87632891,150.9434414,,,0,,bus_stop
264010,264010,Sackville St Before Poole St,-36.0694048,146.9130803,,,0,,bus_stop
2148344,2148344,Sackville St Before Stephen St,-33.76474023,150.9201675,,,0,,bus_stop
216540,216540,Sackville St Before Wolseley St,-33.87699887,150.9427808,,,0,,bus_stop
256523,256523,Sackville St Opp Barff Rd,-34.00777707,150.8581406,,,0,,bus_stop
2148347,2148347,Sackville St Opp Bill Swift Reserve,-33.76407542,150.9150016,,,0,,bus_stop
256559,256559,Sackville St Opp Ivanhoe St,-34.00927727,150.8597234,,,0,,bus_stop
216539,216539,Sackville St Opp The Grove,-33.87763319,150.9423887,,,0,,bus_stop
2565630,2565630,"Sackville Street Public School, Sackville St",-34.0112129,150.8626461,,,0,,bus_stop
2148446,2148446,Sackville T-Way,-33.76399383,150.9133148,,,0,,bus_stop
2148447,2148447,Sackville T-Way,-33.76438872,150.9133651,,,0,,bus_stop
2285391,2285391,Sacramento Av At Alhambra Av,-32.95227356,151.6472804,,,0,,bus_stop
230221,230221,"Sacred Heart Cathedral, Hunter St",-32.9226098,151.7538572,,,0,,bus_stop
230219,230219,"Sacred Heart Cathedral, Hunter St",-32.92236668,151.7538549,,,0,,bus_stop
230251,230251,"Sacred Heart Cathedral, Parry St",-32.92385891,151.7539348,,,0,,bus_stop
2163101,2163101,"Sacred Heart Catholic Primary School, Carawatha St",-33.8892317,150.9759425,,,0,,bus_stop
2320105,2320105,"Sacred Heart Church, New England Hwy",-32.72351717,151.5437511,,,0,,bus_stop
2031138,2031138,"Sacred Heart Primary School, Avoca St",-33.91620222,151.2414929,,,0,,bus_stop
216686,216686,"Sacred Heart Primary School, Bartley St",-33.89001681,150.9366816,,,0,,bus_stop
2073146,2073146,"Sacred Heart Primary School, Bobbon Head Rd",-33.73810098,151.1369573,,,0,,bus_stop
2073153,2073153,"Sacred Heart Primary School, Bobbon Head Rd",-33.73870911,151.1368248,,,0,,bus_stop
210365,210365,"Sacred Heart Primary School, Keenan St",-33.67541942,151.3017803,,,0,,bus_stop
2760308,2760308,Saddington St After Collins St,-33.77356327,150.7752517,,,0,,bus_stop
2760252,2760252,Saddington St After Mamre Rd,-33.77323743,150.7735324,,,0,,bus_stop
